t (seconds)	θ (degrees)	uncertainty t (type b)	uncertainty θ (type b, based on the precision of tracker app's autotracker measurements which can vary because of motion blur, estimated to be on the magnitude of +-1 degree)
64.9	47.13499	0.01	1
64.93333	42.04206	0.01	1
64.96667	35.73559	0.01	1
65	28.3738	0.01	1
65.03333	19.46428	0.01	1
65.06667	10.10588	0.01	1
65.1	0.7425556	0.01	1
65.13333	-4.681747	0.01	1
65.16667	-13.79889	0.01	1
65.2	-22.89338	0.01	1
65.23333	-31.33038	0.01	1
65.26667	-37.77397	0.01	1
65.3	-43.28069	0.01	1
65.33333	-47.72588	0.01	1
65.36667	-50.54199	0.01	1
65.4	-51.6439	0.01	1
65.43333	-51.20317	0.01	1
65.46667	-49.18502	0.01	1
65.5	-45.60724	0.01	1
65.53333	-40.57565	0.01	1
65.56667	-34.0791	0.01	1
65.6	-27.18989	0.01	1
65.63333	-17.83488	0.01	1
65.66667	-8.35537	0.01	1
65.7	1.925611	0.01	1
65.73333	11.86277	0.01	1
65.76667	20.81014	0.01	1
65.8	29.55911	0.01	1
65.83333	37.17536	0.01	1
65.86667	43.66582	0.01	1
65.9	48.74187	0.01	1
65.93333	52.0284	0.01	1
65.96667	52.09985	0.01	1
66	52.11733	0.01	1
66.03333	50.14826	0.01	1
66.06667	46.38608	0.01	1
66.1	41.19093	0.01	1
66.13333	34.74119	0.01	1
66.16667	26.85125	0.01	1
66.2	18.14866	0.01	1
66.23333	9.376263	0.01	1
66.26667	-1.174503	0.01	1
66.3	-9.516453	0.01	1
66.33333	-18.74084	0.01	1
66.36667	-26.94628	0.01	1
66.4	-34.75495	0.01	1
66.43333	-40.78275	0.01	1
66.46667	-45.60589	0.01	1
66.5	-48.89331	0.01	1
66.53333	-50.68032	0.01	1
66.56667	-50.82438	0.01	1
66.6	-49.30864	0.01	1
66.63333	-46.10076	0.01	1
66.66667	-41.53226	0.01	1
66.7	-35.65926	0.01	1
66.73333	-28.29338	0.01	1
66.76667	-24.25951	0.01	1
66.8	-15.38611	0.01	1
66.83333	-6.147413	0.01	1
66.86667	3.616178	0.01	1
66.9	13.2005	0.01	1
66.93333	21.88969	0.01	1
66.96667	30.51954	0.01	1
67	37.66719	0.01	1
67.03333	44.03208	0.01	1
67.06667	48.75042	0.01	1
67.1	51.84791	0.01	1
67.13333	51.56085	0.01	1
67.16667	51.363	0.01	1
67.2	49.30244	0.01	1
67.23333	45.6363	0.01	1
67.26667	40.323	0.01	1
67.3	33.72004	0.01	1
67.33333	26.14852	0.01	1
67.36667	17.45541	0.01	1
67.4	7.505572	0.01	1
67.43333	-2.450895	0.01	1
67.46667	-12.52958	0.01	1
67.5	-21.51825	0.01	1
67.53333	-28.52479	0.01	1
67.56667	-35.45284	0.01	1
67.6	-41.35804	0.01	1
67.63333	-45.98742	0.01	1
67.66667	-48.91206	0.01	1
67.7	-50.44308	0.01	1
67.73333	-50.47096	0.01	1
67.76667	-48.71597	0.01	1
67.8	-45.42209	0.01	1
67.83333	-40.76972	0.01	1
67.86667	-34.56574	0.01	1
67.9	-26.97769	0.01	1
67.93333	-19.26452	0.01	1
67.96667	-9.479459	0.01	1
68	-0.6336498	0.01	1
68.03333	8.725831	0.01	1
68.06667	18.28211	0.01	1
68.1	26.88169	0.01	1
68.13333	34.74661	0.01	1
68.16667	41.56068	0.01	1
68.2	46.86914	0.01	1
68.23333	50.81219	0.01	1
68.26667	51.28088	0.01	1
68.3	51.48033	0.01	1
68.33333	49.96995	0.01	1
68.36667	46.57773	0.01	1
68.4	44.57835	0.01	1
68.43333	39.17751	0.01	1
68.46667	32.06927	0.01	1
68.5	24.25278	0.01	1
68.53333	15.16594	0.01	1
68.56667	5.72618	0.01	1
68.6	-3.393764	0.01	1
68.63333	-12.84315	0.01	1
68.66667	-22.03919	0.01	1
68.7	-29.18603	0.01	1
68.73333	-35.7493	0.01	1
68.76667	-41.46447	0.01	1
68.8	-45.99109	0.01	1
68.83333	-48.87709	0.01	1
68.86667	-50.23489	0.01	1
68.9	-50.23992	0.01	1
68.93333	-48.29911	0.01	1
68.96667	-45.01012	0.01	1
69	-40.38102	0.01	1
69.03333	-34.36656	0.01	1
69.06667	-26.9763	0.01	1
69.1	-17.60434	0.01	1
69.13333	-8.614349	0.01	1
69.16667	0.9801501	0.01	1
69.2	10.56012	0.01	1
69.23333	20.07438	0.01	1
69.26667	28.43414	0.01	1
69.3	35.97983	0.01	1
69.33333	42.40698	0.01	1
69.36667	47.42434	0.01	1
69.4	50.80596	0.01	1
69.43333	50.99705	0.01	1
69.46667	51.00507	0.01	1
69.5	49.30797	0.01	1
69.53333	45.63484	0.01	1
69.56667	40.80126	0.01	1
69.6	34.33527	0.01	1
69.63333	26.994	0.01	1
69.66667	18.37396	0.01	1
69.7	9.737414	0.01	1
69.73333	0.3878521	0.01	1
69.76667	-9.30815	0.01	1
69.8	-18.8615	0.01	1
69.83333	-26.16272	0.01	1
69.86667	-33.99411	0.01	1
69.9	-39.72224	0.01	1
69.93333	-44.63467	0.01	1
69.96667	-48.09999	0.01	1
70	-50.02626	0.01	1
70.03333	-50.43308	0.01	1
70.06667	-50.0124	0.01	1
70.1	-47.91023	0.01	1
70.13333	-44.44299	0.01	1
70.16667	-39.52399	0.01	1
70.2	-33.32343	0.01	1
70.23333	-25.06459	0.01	1
70.26667	-16.05694	0.01	1
70.3	-7.257167	0.01	1
70.33333	2.306828	0.01	1
70.36667	11.94746	0.01	1
70.4	21.09766	0.01	1
70.43333	29.34873	0.01	1
70.46667	36.46447	0.01	1
70.5	42.98621	0.01	1
70.53333	47.70966	0.01	1
70.56667	50.74725	0.01	1
70.6	50.62851	0.01	1
70.63333	50.63444	0.01	1
70.66667	48.55632	0.01	1
70.7	44.59789	0.01	1
70.73333	39.62735	0.01	1
70.76667	33.42703	0.01	1
70.8	25.78128	0.01	1
70.83333	17.05028	0.01	1
70.86667	7.270441	0.01	1
70.9	-2.585976	0.01	1
70.93333	-11.72803	0.01	1
70.96667	-21.05405	0.01	1
71	-28.48952	0.01	1
71.03333	-35.17298	0.01	1
71.06667	-41.94749	0.01	1
71.1	-46.75376	0.01	1
71.13333	-50.10294	0.01	1
71.16667	-51.6657	0.01	1
71.2	-51.68001	0.01	1
71.23333	-50.12203	0.01	1
71.26667	-46.9474	0.01	1
71.3	-42.03807	0.01	1
71.33333	-35.48498	0.01	1
71.36667	-28.00066	0.01	1
71.4	-20.11687	0.01	1
71.43333	-10.88272	0.01	1
71.46667	-0.9093834	0.01	1
71.5	8.66321	0.01	1
71.53333	17.65895	0.01	1
71.56667	26.37786	0.01	1
71.6	34.29269	0.01	1
71.63333	40.77371	0.01	1
71.66667	43.54902	0.01	1
71.7	48.09747	0.01	1
71.73333	49.51199	0.01	1
71.76667	50.26703	0.01	1
71.8	49.87868	0.01	1
71.83333	47.79851	0.01	1
71.86667	43.37061	0.01	1
71.9	38.27284	0.01	1
71.93333	31.83437	0.01	1
71.96667	24.48934	0.01	1
72	15.76836	0.01	1
72.03333	6.4279	0.01	1
72.06667	-2.587484	0.01	1
72.1	-12.01754	0.01	1
72.13333	-20.76327	0.01	1
72.16667	-28.49134	0.01	1
72.2	-35.38762	0.01	1
72.23333	-40.8887	0.01	1
72.26667	-45.11489	0.01	1
72.3	-47.73215	0.01	1
72.33333	-48.97326	0.01	1
72.36667	-48.92998	0.01	1
72.4	-46.86416	0.01	1
72.43333	-43.47324	0.01	1
72.46667	-38.65002	0.01	1
72.5	-32.6311	0.01	1
72.53333	-24.85202	0.01	1
72.56667	-16.27024	0.01	1
72.6	-7.560237	0.01	1
72.63333	1.981224	0.01	1
72.66667	11.19175	0.01	1
72.7	20.15826	0.01	1
72.73333	28.05322	0.01	1
72.76667	35.56284	0.01	1
72.8	42.00697	0.01	1
72.83333	46.86207	0.01	1
72.86667	49.89728	0.01	1
72.9	49.81143	0.01	1
72.93333	49.79318	0.01	1
72.96667	48.0858	0.01	1
73	44.49839	0.01	1
73.03333	39.33207	0.01	1
73.06667	33.39874	0.01	1
73.1	25.83637	0.01	1
73.13333	17.83732	0.01	1
73.16667	9.161983	0.01	1
73.2	0.2395827	0.01	1
73.23333	-9.35796	0.01	1
73.26667	-17.82695	0.01	1
73.3	-21.90053	0.01	1
73.33333	-30.37195	0.01	1
73.36667	-36.55163	0.01	1
73.4	-41.75217	0.01	1
73.43333	-45.60455	0.01	1
73.46667	-48.011	0.01	1
73.5	-48.69633	0.01	1
73.53333	-48.04164	0.01	1
73.56667	-45.71728	0.01	1
73.6	-41.84492	0.01	1
73.63333	-36.91021	0.01	1
73.66667	-30.32574	0.01	1
73.7	-22.50228	0.01	1
73.73333	-13.60636	0.01	1
73.76667	-4.678287	0.01	1
73.8	4.550719	0.01	1
73.83333	13.6902	0.01	1
73.86667	22.38246	0.01	1
73.9	30.19706	0.01	1
73.93333	36.83357	0.01	1
73.96667	42.86523	0.01	1
74	47.43434	0.01	1
74.03333	50.08682	0.01	1
74.06667	49.60129	0.01	1
74.1	49.05116	0.01	1
74.13333	46.95598	0.01	1
74.16667	42.87735	0.01	1
74.2	37.76192	0.01	1
74.23333	31.2808	0.01	1
74.26667	23.84667	0.01	1
74.3	14.88591	0.01	1
74.33333	6.095864	0.01	1
74.36667	-2.374892	0.01	1
74.4	-11.05771	0.01	1
74.43333	-19.50195	0.01	1
74.46667	-27.83725	0.01	1
74.5	-34.60944	0.01	1
74.53333	-40.22869	0.01	1
74.56667	-44.35101	0.01	1
74.6	-47.12852	0.01	1
74.63333	-48.36881	0.01	1
74.66667	-48.36285	0.01	1
74.7	-46.27765	0.01	1
74.73333	-42.91033	0.01	1
74.76667	-38.08664	0.01	1
74.8	-32.19911	0.01	1
74.83333	-24.53356	0.01	1
74.86667	-16.03181	0.01	1
74.9	-7.147582	0.01	1
74.93333	-3.016823	0.01	1
74.96667	6.303444	0.01	1
75	15.4727	0.01	1
75.03333	24.09172	0.01	1
75.06667	31.76058	0.01	1
75.1	38.18063	0.01	1
75.13333	43.63046	0.01	1
75.16667	47.88636	0.01	1
75.2	48.76422	0.01	1
75.23333	49.33477	0.01	1
75.26667	48.39087	0.01	1
75.3	45.81692	0.01	1
75.33333	41.69819	0.01	1
75.36667	35.9255	0.01	1
75.4	29.08123	0.01	1
75.43333	21.28927	0.01	1
75.46667	12.49534	0.01	1
75.5	3.209127	0.01	1
75.53333	-5.525548	0.01	1
75.56667	-15.04169	0.01	1
75.6	-23.19619	0.01	1
75.63333	-30.41391	0.01	1
75.66667	-36.84962	0.01	1
75.7	-42.03857	0.01	1
75.73333	-45.87218	0.01	1
75.76667	-48.27649	0.01	1
75.8	-48.93173	0.01	1
75.83333	-48.35973	0.01	1
75.86667	-46.0713	0.01	1
75.9	-42.23851	0.01	1
75.93333	-37.52731	0.01	1
75.96667	-30.42958	0.01	1
76	-22.90688	0.01	1
76.03333	-14.55559	0.01	1
76.06667	-5.378354	0.01	1
76.1	3.077357	0.01	1
76.13333	12.97298	0.01	1
76.16667	21.85608	0.01	1
76.2	29.76876	0.01	1
76.23333	36.67397	0.01	1
76.26667	42.54795	0.01	1
76.3	46.78376	0.01	1
76.33333	49.26349	0.01	1
76.36667	50.0521	0.01	1
76.4	49.44747	0.01	1
76.43333	47.13848	0.01	1
76.46667	43.14198	0.01	1
76.5	38.00195	0.01	1
76.53333	31.59762	0.01	1
76.56667	28.06271	0.01	1
76.6	20.30555	0.01	1
76.63333	11.05374	0.01	1
76.66667	2.131916	0.01	1
76.7	-6.765818	0.01	1
76.73333	-15.53775	0.01	1
76.76667	-23.97434	0.01	1
76.8	-31.75318	0.01	1
76.83333	-37.60099	0.01	1
76.86667	-42.5235	0.01	1
76.9	-45.97066	0.01	1
76.93333	-47.98492	0.01	1
76.96667	-48.36157	0.01	1
77	-47.31256	0.01	1
77.03333	-44.53692	0.01	1
77.06667	-40.416	0.01	1
77.1	-35.29765	0.01	1
77.13333	-28.85714	0.01	1
77.16667	-20.49566	0.01	1
77.2	-11.91152	0.01	1
77.23333	-2.646915	0.01	1
77.26667	7.135533	0.01	1
77.3	15.56356	0.01	1
77.33333	24.08798	0.01	1
77.36667	31.65738	0.01	1
77.4	38.40132	0.01	1
77.43333	43.61159	0.01	1
77.46667	47.54115	0.01	1
77.5	49.47299	0.01	1
77.53333	49.88321	0.01	1
77.56667	48.92574	0.01	1
77.6	45.99844	0.01	1
77.63333	41.67657	0.01	1
77.66667	36.12388	0.01	1
77.7	28.77891	0.01	1
77.73333	20.85951	0.01	1
77.76667	12.08016	0.01	1
77.8	3.499567	0.01	1
77.83333	-5.82695	0.01	1
77.86667	-15.38089	0.01	1
77.9	-24.00016	0.01	1
77.93333	-30.30109	0.01	1
77.96667	-36.27784	0.01	1
78	-41.36091	0.01	1
78.03333	-45.10875	0.01	1
78.06667	-47.30457	0.01	1
78.1	-47.88384	0.01	1
78.13333	-47.20004	0.01	1
78.16667	-44.81615	0.01	1
78.2	-42.90477	0.01	1
78.23333	-38.68563	0.01	1
78.26667	-32.60429	0.01	1
78.3	-25.30138	0.01	1
78.33333	-17.44111	0.01	1
78.36667	-8.565252	0.01	1
78.4	0.4649522	0.01	1
78.43333	9.558501	0.01	1
78.46667	18.52231	0.01	1
78.5	26.65733	0.01	1
78.53333	33.89677	0.01	1
78.56667	39.93736	0.01	1
78.6	44.76832	0.01	1
78.63333	47.92919	0.01	1
78.66667	47.82913	0.01	1
78.7	47.82559	0.01	1
78.73333	46.01322	0.01	1
78.76667	42.93263	0.01	1
78.8	38.28165	0.01	1
78.83333	32.47944	0.01	1
78.86667	24.84841	0.01	1
78.9	16.82327	0.01	1
78.93333	7.887848	0.01	1
78.96667	-1.471097	0.01	1
79	-10.44026	0.01	1
79.03333	-19.0532	0.01	1
79.06667	-26.47761	0.01	1
79.1	-33.29788	0.01	1
79.13333	-39.35326	0.01	1
79.16667	-44.1545	0.01	1
79.2	-47.48121	0.01	1
79.23333	-48.92988	0.01	1
79.26667	-49.3043	0.01	1
79.3	-48.06214	0.01	1
79.33333	-45.095	0.01	1
79.36667	-40.42303	0.01	1
79.4	-34.55793	0.01	1
79.43333	-27.39085	0.01	1
79.46667	-18.75096	0.01	1
79.5	-10.07783	0.01	1
79.53333	-0.6377592	0.01	1
79.56667	7.755934	0.01	1
79.6	16.67336	0.01	1
79.63333	25.08408	0.01	1
79.66667	32.61897	0.01	1
79.7	38.77483	0.01	1
79.73333	43.71048	0.01	1
79.76667	47.26755	0.01	1
79.8	47.53136	0.01	1
79.83333	47.9133	0.01	1
79.86667	47.52997	0.01	1
79.9	45.13948	0.01	1
79.93333	41.37236	0.01	1
79.96667	36.13168	0.01	1
80	29.71258	0.01	1
80.03333	22.18878	0.01	1
80.06667	13.8355	0.01	1
80.1	5.629343	0.01	1
80.13333	-3.039744	0.01	1
80.16667	-11.51615	0.01	1
80.2	-19.32826	0.01	1
80.23333	-26.95394	0.01	1
80.26667	-33.66872	0.01	1
80.3	-38.78554	0.01	1
80.33333	-42.99859	0.01	1
80.36667	-45.58344	0.01	1
80.4	-46.71345	0.01	1
80.43333	-46.70481	0.01	1
80.46667	-44.54907	0.01	1
80.5	-41.0745	0.01	1
80.53333	-36.46766	0.01	1
80.56667	-30.25653	0.01	1
80.6	-23.046	0.01	1
80.63333	-14.70963	0.01	1
80.66667	-6.741439	0.01	1
80.7	2.328873	0.01	1
80.73333	11.18807	0.01	1
80.76667	19.79735	0.01	1
80.8	27.79754	0.01	1
80.83333	34.58155	0.01	1
80.86667	40.41341	0.01	1
80.9	44.84308	0.01	1
80.93333	47.63836	0.01	1
80.96667	47.33953	0.01	1
81	47.33864	0.01	1
81.03333	45.15034	0.01	1
81.06667	41.57666	0.01	1
81.1	36.80068	0.01	1
81.13333	30.29624	0.01	1
81.16667	23.06523	0.01	1
81.2	15.23264	0.01	1
81.23333	6.505614	0.01	1
81.26667	-2.156581	0.01	1
81.3	-11.37747	0.01	1
81.33333	-19.94238	0.01	1
81.36667	-26.48497	0.01	1
81.4	-33.08008	0.01	1
81.43333	-38.49966	0.01	1
81.46667	-42.71635	0.01	1
81.5	-44.42865	0.01	1
81.53333	-46.43503	0.01	1
81.56667	-47.00851	0.01	1
81.6	-46.07604	0.01	1
81.63333	-43.6585	0.01	1
81.66667	-39.73536	0.01	1
81.7	-34.54585	0.01	1
81.73333	-28.27333	0.01	1
81.76667	-20.7414	0.01	1
81.8	-12.08667	0.01	1
81.83333	-3.101652	0.01	1
81.86667	5.690053	0.01	1
81.9	14.66762	0.01	1
81.93333	23.01313	0.01	1
81.96667	30.1925	0.01	1
82	36.69613	0.01	1
82.03333	42.04863	0.01	1
82.06667	45.91088	0.01	1
82.1	48.02277	0.01	1
82.13333	48.55277	0.01	1
82.16667	47.85968	0.01	1
82.2	45.51459	0.01	1
82.23333	41.56257	0.01	1
82.26667	36.02506	0.01	1
82.3	29.21957	0.01	1
82.33333	21.60185	0.01	1
82.36667	12.97062	0.01	1
82.4	4.128403	0.01	1
82.43333	-4.535444	0.01	1
82.46667	-13.28981	0.01	1
82.5	-21.11276	0.01	1
82.53333	-28.31448	0.01	1
82.56667	-34.89953	0.01	1
82.6	-39.66781	0.01	1
82.63333	-43.2143	0.01	1
82.66667	-45.47225	0.01	1
82.7	-46.04732	0.01	1
82.73333	-45.31527	0.01	1
82.76667	-42.91896	0.01	1
82.8	-39.08157	0.01	1
82.83333	-34.25101	0.01	1
82.86667	-27.97187	0.01	1
82.9	-20.6873	0.01	1
82.93333	-12.55236	0.01	1
82.96667	-3.887195	0.01	1
83	5.262954	0.01	1
83.03333	13.99085	0.01	1
83.06667	22.19477	0.01	1
83.1	29.58077	0.01	1
83.13333	32.87513	0.01	1
83.16667	38.74634	0.01	1
83.2	43.68449	0.01	1
83.23333	46.67572	0.01	1
83.26667	46.58208	0.01	1
83.3	46.58119	0.01	1
83.33333	44.9482	0.01	1
83.36667	41.84431	0.01	1
83.4	37.57194	0.01	1
83.43333	31.46699	0.01	1
83.46667	24.29025	0.01	1
83.5	16.57061	0.01	1
83.53333	7.717086	0.01	1
83.56667	-0.9961751	0.01	1
83.6	-9.846401	0.01	1
83.63333	-18.31298	0.01	1
83.66667	-26.29987	0.01	1
83.7	-32.71954	0.01	1
83.73333	-38.604	0.01	1
83.76667	-43.28316	0.01	1
83.8	-46.34439	0.01	1
83.83333	-47.76431	0.01	1
83.86667	-47.95785	0.01	1
83.9	-46.72225	0.01	1
83.93333	-43.48857	0.01	1
83.96667	-38.81082	0.01	1
84	-32.92028	0.01	1
84.03333	-26.291	0.01	1
84.06667	-18.75593	0.01	1
84.1	-9.790683	0.01	1
84.13333	-0.9321934	0.01	1
84.16667	8.435655	0.01	1
84.2	16.99382	0.01	1
84.23333	24.90539	0.01	1
84.26667	32.15952	0.01	1
84.3	38.15083	0.01	1
84.33333	42.98972	0.01	1
84.36667	46.28849	0.01	1
84.4	46.57791	0.01	1
84.43333	46.76451	0.01	1
84.46667	45.32372	0.01	1
84.5	42.04528	0.01	1
84.53333	37.56208	0.01	1
84.56667	31.74947	0.01	1
84.6	24.71931	0.01	1
84.63333	16.81981	0.01	1
84.66667	8.198654	0.01	1
84.7	-0.6214569	0.01	1
84.73333	-9.024502	0.01	1
84.76667	-13.45222	0.01	1
84.8	-21.90884	0.01	1
84.83333	-28.98169	0.01	1
84.86667	-34.97273	0.01	1
84.9	-40.33915	0.01	1
84.93333	-44.24799	0.01	1
84.96667	-46.81419	0.01	1
85	-47.39311	0.01	1
85.03333	-47.38623	0.01	1
85.06667	-45.00832	0.01	1
85.1	-41.29002	0.01	1
85.13333	-36.20384	0.01	1
85.16667	-29.89292	0.01	1
85.2	-22.42077	0.01	1
85.23333	-14.65419	0.01	1
85.26667	-6.114654	0.01	1
85.3	2.869702	0.01	1
85.33333	11.91468	0.01	1
85.36667	20.50863	0.01	1
85.4	28.0731	0.01	1
85.43333	34.79865	0.01	1
85.46667	40.20151	0.01	1
85.5	44.4443	0.01	1
85.53333	46.86768	0.01	1
85.56667	47.67202	0.01	1
85.6	47.22472	0.01	1
85.63333	45.38391	0.01	1
85.66667	42.11312	0.01	1
85.7	36.88641	0.01	1
85.73333	30.58506	0.01	1
85.76667	23.20809	0.01	1
85.8	14.89667	0.01	1
85.83333	6.378211	0.01	1
85.86667	-2.387445	0.01	1
85.9	-10.68214	0.01	1
85.93333	-18.88537	0.01	1
85.96667	-26.0649	0.01	1
86	-32.98776	0.01	1
86.03333	-37.93044	0.01	1
86.06667	-41.84914	0.01	1
86.1	-44.33945	0.01	1
86.13333	-45.11691	0.01	1
86.16667	-44.91069	0.01	1
86.2	-42.70922	0.01	1
86.23333	-39.27082	0.01	1
86.26667	-34.44711	0.01	1
86.3	-28.4369	0.01	1
86.33333	-21.39222	0.01	1
86.36667	-13.76103	0.01	1
86.4	-9.96359	0.01	1
86.43333	-1.496313	0.01	1
86.46667	7.483152	0.01	1
86.5	16.01131	0.01	1
86.53333	23.87401	0.01	1
86.56667	31.10984	0.01	1
86.6	37.26765	0.01	1
86.63333	42.13526	0.01	1
86.66667	45.42689	0.01	1
86.7	45.70477	0.01	1
86.73333	45.90121	0.01	1
86.76667	44.65905	0.01	1
86.8	41.73702	0.01	1
86.83333	37.28001	0.01	1
86.86667	31.92971	0.01	1
86.9	25.20082	0.01	1
86.93333	17.57269	0.01	1
86.96667	8.818458	0.01	1
87	0.2819372	0.01	1
87.03333	-8.791872	0.01	1
87.06667	-17.31355	0.01	1
87.1	-24.5918	0.01	1
87.13333	-31.08178	0.01	1
87.16667	-37.15993	0.01	1
87.2	-41.76397	0.01	1
87.23333	-45.19519	0.01	1
87.26667	-46.99187	0.01	1
87.3	-47.1955	0.01	1
87.33333	-46.05996	0.01	1
87.36667	-43.19975	0.01	1
87.4	-38.97479	0.01	1
87.43333	-33.39793	0.01	1
87.46667	-27.0708	0.01	1
87.5	-19.48992	0.01	1
87.53333	-11.08269	0.01	1
87.56667	-2.818134	0.01	1
87.6	5.690276	0.01	1
87.63333	14.39402	0.01	1
87.66667	22.49415	0.01	1
87.7	29.50495	0.01	1
87.73333	35.20996	0.01	1
87.76667	39.91056	0.01	1
87.8	43.10498	0.01	1
87.83333	44.75255	0.01	1
87.86667	44.94474	0.01	1
87.9	43.76357	0.01	1
87.93333	41.25109	0.01	1
87.96667	37.19579	0.01	1
88	31.53361	0.01	1
88.03333	28.08979	0.01	1
88.06667	21.01027	0.01	1
88.1	12.83251	0.01	1
88.13333	4.337306	0.01	1
88.16667	-4.361448	0.01	1
88.2	-12.74336	0.01	1
88.23333	-20.81231	0.01	1
88.26667	-28.01774	0.01	1
88.3	-34.39396	0.01	1
88.33333	-39.46693	0.01	1
88.36667	-43.47985	0.01	1
88.4	-45.95474	0.01	1
88.43333	-46.72055	0.01	1
88.46667	-46.72414	0.01	1
88.5	-44.62309	0.01	1
88.53333	-41.10419	0.01	1
88.56667	-35.53825	0.01	1
88.6	-29.65851	0.01	1
88.63333	-22.49587	0.01	1
88.66667	-14.85358	0.01	1
88.7	-6.698768	0.01	1
88.73333	2.192315	0.01	1
88.76667	10.947	0.01	1
88.8	19.57071	0.01	1
88.83333	27.00408	0.01	1
88.86667	33.83435	0.01	1
88.9	39.14521	0.01	1
88.93333	43.31187	0.01	1
88.96667	45.70394	0.01	1
89	45.21051	0.01	1
89.03333	44.84468	0.01	1
89.06667	43.01003	0.01	1
89.1	39.34383	0.01	1
89.13333	34.34532	0.01	1
89.16667	28.55296	0.01	1
89.2	21.27015	0.01	1
89.23333	13.7262	0.01	1
89.26667	4.733958	0.01	1
89.3	-3.909051	0.01	1
89.33333	-12.54473	0.01	1
89.36667	-20.62275	0.01	1
89.4	-27.01011	0.01	1
89.43333	-33.788	0.01	1
89.46667	-39.08863	0.01	1
89.5	-43.09501	0.01	1
89.53333	-45.76165	0.01	1
89.56667	-46.52796	0.01	1
89.6	-46.53296	0.01	1
89.63333	-44.43702	0.01	1
89.66667	-42.90062	0.01	1
89.7	-38.62238	0.01	1
89.73333	-31.53948	0.01	1
89.76667	-26.56981	0.01	1
89.8	-19.15925	0.01	1
89.83333	-11.18249	0.01	1
89.86667	-2.413115	0.01	1
89.9	6.153425	0.01	1
89.93333	14.75467	0.01	1
89.96667	23.19107	0.01	1
90	30.3905	0.01	1
90.03333	36.47945	0.01	1
90.06667	41.25834	0.01	1
90.1	44.64304	0.01	1
90.13333	46.28817	0.01	1
90.16667	46.59356	0.01	1
90.2	45.50421	0.01	1
90.23333	42.91485	0.01	1
90.26667	38.7689	0.01	1
90.3	32.85879	0.01	1
90.33333	26.29501	0.01	1
90.36667	18.89841	0.01	1
90.4	10.716	0.01	1
90.43333	2.035919	0.01	1
90.46667	-6.659317	0.01	1
90.5	-14.81725	0.01	1
90.53333	-22.19928	0.01	1
90.56667	-29.358	0.01	1
90.6	-34.52274	0.01	1
90.63333	-38.97158	0.01	1
90.66667	-42.21811	0.01	1
90.7	-43.94811	0.01	1
90.73333	-44.15572	0.01	1
90.76667	-42.99297	0.01	1
90.8	-40.22961	0.01	1
90.83333	-36.18914	0.01	1
90.86667	-31.19908	0.01	1
90.9	-24.5596	0.01	1
90.93333	-17.25934	0.01	1
90.96667	-9.524954	0.01	1
91	-0.7206597	0.01	1
91.03333	7.620262	0.01	1
91.06667	15.66685	0.01	1
91.1	23.31726	0.01	1
91.13333	30.17791	0.01	1
91.16667	36.22101	0.01	1
91.2	40.98849	0.01	1
91.23333	44.18864	0.01	1
91.26667	44.28313	0.01	1
91.3	44.46428	0.01	1
91.33333	44.0739	0.01	1
91.36667	42.24303	0.01	1
91.4	38.76175	0.01	1
91.43333	33.68713	0.01	1
91.46667	27.38273	0.01	1
91.5	20.38284	0.01	1
91.53333	12.26325	0.01	1
91.56667	3.877524	0.01	1
91.6	-4.779022	0.01	1
91.63333	-13.00507	0.01	1
91.66667	-20.87804	0.01	1
91.7	-27.49983	0.01	1
91.73333	-33.96833	0.01	1
91.76667	-39.08076	0.01	1
91.8	-43.09311	0.01	1
91.83333	-45.38888	0.01	1
91.86667	-46.14943	0.01	1
91.9	-46.14608	0.01	1
91.93333	-43.86305	0.01	1
91.96667	-40.50912	0.01	1
92	-35.54168	0.01	1
92.03333	-29.37182	0.01	1
92.06667	-22.43393	0.01	1
92.1	-14.62644	0.01	1
92.13333	-6.18429	0.01	1
92.16667	3.061034	0.01	1
92.2	11.47792	0.01	1
92.23333	19.58739	0.01	1
92.26667	26.83807	0.01	1
92.3	33.45123	0.01	1
92.33333	38.84377	0.01	1
92.36667	42.83639	0.01	1
92.4	45.1372	0.01	1
92.43333	45.87125	0.01	1
92.46667	45.47608	0.01	1
92.5	43.52918	0.01	1
92.53333	39.83529	0.01	1
92.56667	34.67579	0.01	1
92.6	28.76477	0.01	1
92.63333	21.82148	0.01	1
92.66667	13.82012	0.01	1
92.7	5.536569	0.01	1
92.73333	-2.786357	0.01	1
92.76667	-11.25224	0.01	1
92.8	-19.04824	0.01	1
92.83333	-25.89548	0.01	1
92.86667	-32.09789	0.01	1
92.9	-36.93992	0.01	1
92.93333	-38.87285	0.01	1
92.96667	-41.93187	0.01	1
93	-43.48321	0.01	1
93.03333	-43.64727	0.01	1
93.06667	-42.32545	0.01	1
93.1	-39.54267	0.01	1
93.13333	-35.6754	0.01	1
93.16667	-30.4013	0.01	1
93.2	-23.89441	0.01	1
93.23333	-16.3296	0.01	1
93.26667	-8.19763	0.01	1
93.3	-0.231005	0.01	1
93.33333	8.402212	0.01	1
93.36667	16.52102	0.01	1
93.4	24.27192	0.01	1
93.43333	30.93771	0.01	1
93.46667	36.61175	0.01	1
93.5	41.01623	0.01	1
93.53333	44.00005	0.01	1
93.56667	44.08932	0.01	1
93.6	44.27679	0.01	1
93.63333	42.8411	0.01	1
93.66667	40.04963	0.01	1
