t (seconds)	θ (degrees)	uncertainty t (type b)	uncertainty θ (type b, based on the precision of tracker app's autotracker measurements which can vary because of motion blur, estimated to be on the magnitude of +-1 degree)
5.566667	-65.58854	0.01	1
5.6	-72.45392	0.01	1
5.633333	-77.48622	0.01	1
5.666667	-80.39278	0.01	1
5.7	-81.17063	0.01	1
5.733333	-80.14007	0.01	1
5.766667	-76.86523	0.01	1
5.8	-71.59508	0.01	1
5.833333	-64.15145	0.01	1
5.866667	-55.00273	0.01	1
5.9	-44.16331	0.01	1
5.933333	-28.01192	0.01	1
5.966667	-14.45631	0.01	1
6	-5.584203	0.01	1
6.033333	11.44255	0.01	1
6.066667	26.09841	0.01	1
6.1	38.24104	0.01	1
6.133333	49.78446	0.01	1
6.166667	61.60882	0.01	1
6.2	69.98626	0.01	1
6.233333	73.34459	0.01	1
6.266667	76.29725	0.01	1
6.3	79.38613	0.01	1
6.333333	80.33341	0.01	1
6.366667	79.38718	0.01	1
6.4	76.30626	0.01	1
6.433333	70.70541	0.01	1
6.466667	63.0297	0.01	1
6.5	53.32671	0.01	1
6.533333	41.65974	0.01	1
6.566667	28.90877	0.01	1
6.6	15.84259	0.01	1
6.633333	2.730179	0.01	1
6.666667	-11.62562	0.01	1
6.7	-24.25156	0.01	1
6.733333	-36.80709	0.01	1
6.766667	-48.66776	0.01	1
6.8	-58.51291	0.01	1
6.833333	-66.30174	0.01	1
6.866667	-72.2312	0.01	1
6.9	-76.30648	0.01	1
6.933333	-78.57813	0.01	1
6.966667	-78.86001	0.01	1
7	-76.67928	0.01	1
7.033333	-72.75279	0.01	1
7.066667	-67.04101	0.01	1
7.1	-59.66	0.01	1
7.133333	-47.86919	0.01	1
7.166667	-36.07582	0.01	1
7.2	-26.5801	0.01	1
7.233333	-10.06403	0.01	1
7.266667	2.977571	0.01	1
7.3	15.19007	0.01	1
7.333333	29.08022	0.01	1
7.366667	41.64701	0.01	1
7.4	53.34126	0.01	1
7.433333	62.72071	0.01	1
7.466667	70.93073	0.01	1
7.5	76.66594	0.01	1
7.533333	79.51198	0.01	1
7.566667	78.99891	0.01	1
7.6	78.42907	0.01	1
7.633333	75.02544	0.01	1
7.666667	70.03353	0.01	1
7.7	63.14407	0.01	1
7.733333	52.50878	0.01	1
7.766667	41.49887	0.01	1
7.8	30.544	0.01	1
7.833333	16.64636	0.01	1
7.866667	8.973954	0.01	1
7.9	-5.360116	0.01	1
7.933333	-19.06014	0.01	1
7.966667	-30.54141	0.01	1
8	-42.50468	0.01	1
8.033333	-52.78657	0.01	1
8.066667	-61.32475	0.01	1
8.1	-67.25521	0.01	1
8.133333	-74.01292	0.01	1
8.166667	-76.86119	0.01	1
8.2	-77.72856	0.01	1
8.233333	-77.49267	0.01	1
8.266667	-74.50098	0.01	1
8.3	-70.11082	0.01	1
8.333333	-63.08906	0.01	1
8.366667	-53.99882	0.01	1
8.4	-42.50468	0.01	1
8.433333	-30.25513	0.01	1
8.466667	-17.2284	0.01	1
8.5	-4.037442	0.01	1
8.533333	9.672428	0.01	1
8.566667	23.85195	0.01	1
8.6	36.59977	0.01	1
8.633333	47.5339	0.01	1
8.666667	57.36367	0.01	1
8.7	65.52255	0.01	1
8.733333	72.08324	0.01	1
8.766667	76.02202	0.01	1
8.8	77.7534	0.01	1
8.833333	77.85626	0.01	1
8.866667	76.0132	0.01	1
8.9	71.75575	0.01	1
8.933333	65.354	0.01	1
8.966667	56.79513	0.01	1
9	46.31912	0.01	1
9.033333	34.43864	0.01	1
9.066667	22.32189	0.01	1
9.1	8.876787	0.01	1
9.133333	-4.055491	0.01	1
9.166667	-18.06756	0.01	1
9.2	-30.13306	0.01	1
9.233333	-42.49936	0.01	1
9.266667	-53.4384	0.01	1
9.3	-61.86969	0.01	1
9.333333	-68.52589	0.01	1
9.366667	-73.49618	0.01	1
9.4	-75.86941	0.01	1
9.433333	-76.70051	0.01	1
9.466667	-75.85474	0.01	1
9.5	-72.83371	0.01	1
9.533333	-70.72908	0.01	1
9.566667	-63.141	0.01	1
9.6	-55.09892	0.01	1
9.633333	-44.66015	0.01	1
9.666667	-32.7612	0.01	1
9.7	-22.24764	0.01	1
9.733333	-9.576873	0.01	1
9.766667	6.388786	0.01	1
9.8	20.67956	0.01	1
9.833333	33.66234	0.01	1
9.866667	45.38921	0.01	1
9.9	55.61513	0.01	1
9.933333	64.16369	0.01	1
9.966667	71.65626	0.01	1
10	75.91414	0.01	1
10.03333	77.44632	0.01	1
10.06667	78.26107	0.01	1
10.1	77.09428	0.01	1
10.13333	73.19074	0.01	1
10.16667	67.55166	0.01	1
10.2	59.24362	0.01	1
10.23333	49.80312	0.01	1
10.26667	40.0535	0.01	1
10.3	25.32054	0.01	1
10.33333	10.94347	0.01	1
10.36667	-0.9062086	0.01	1
10.4	-14.36126	0.01	1
10.43333	-26.7817	0.01	1
10.46667	-38.43971	0.01	1
10.5	-48.22871	0.01	1
10.53333	-58.41218	0.01	1
10.56667	-65.83296	0.01	1
10.6	-70.70347	0.01	1
10.63333	-74.10093	0.01	1
10.66667	-75.56981	0.01	1
10.7	-75.54499	0.01	1
10.73333	-72.87917	0.01	1
10.76667	-68.39576	0.01	1
10.8	-61.58058	0.01	1
10.83333	-53.41574	0.01	1
10.86667	-42.4641	0.01	1
10.9	-31.07715	0.01	1
10.93333	-21.48708	0.01	1
10.96667	-5.392298	0.01	1
11	8.136973	0.01	1
11.03333	22.56506	0.01	1
11.06667	35.28318	0.01	1
11.1	47.79368	0.01	1
11.13333	56.82677	0.01	1
11.16667	61.40581	0.01	1
11.2	72.30953	0.01	1
11.23333	76.02371	0.01	1
11.26667	76.44366	0.01	1
11.3	75.62329	0.01	1
11.36667	73.39698	0.01	1
11.4	68.04894	0.01	1
11.43333	60.73185	0.01	1
11.46667	51.51438	0.01	1
11.5	40.48334	0.01	1
11.53333	28.46311	0.01	1
11.56667	15.40001	0.01	1
11.6	3.381861	0.01	1
11.63333	-10.38875	0.01	1
