Amplitude (radians)	Period (seconds)	Amplitude uncertainty (radians)	Period uncertainty (seconds)
0.348	1.133	0.002	0.002
0.347	1.125	0.002	0.002
0.345	1.125	0.002	0.002
0.34	1.117	0.002	0.002
0.335	1.117	0.002	0.002
0.335	1.133	0.002	0.002
0.333	1.117	0.002	0.002
0.329	1.125	0.002	0.002
0.327	1.117	0.002	0.002
0.323	1.125	0.002	0.002
0.323	1.125	0.002	0.002
0.315	1.117	0.002	0.002
0.31	1.125	0.002	0.002
0.31	1.108	0.002	0.002
0.307	1.142	0.002	0.002
0.302	1.125	0.002	0.002
0.298	1.117	0.002	0.002
0.294	1.125	0.002	0.002
0.291	1.108	0.002	0.002
0.288	1.125	0.002	0.002
0.279	1.1	0.002	0.002
0.275	1.117	0.002	0.002
0.272	1.108	0.002	0.002
0.271	1.117	0.002	0.002
0.27	1.108	0.002	0.002
0.269	1.108	0.002	0.002
0.267	1.133	0.002	0.002
0.261	1.108	0.002	0.002
0.255	1.117	0.002	0.002
0.251	1.108	0.002	0.002
0.251	1.133	0.002	0.002
0.246	1.133	0.002	0.002
0.246	1.117	0.002	0.002
0.243	1.117	0.002	0.002
0.237	1.125	0.002	0.002
0.23	1.117	0.002	0.002
0.227	1.117	0.002	0.002
0.224	1.108	0.002	0.002
0.222	1.117	0.002	0.002
0.219	1.108	0.002	0.002
0.21	1.117	0.002	0.002
0.21	1.117	0.002	0.002
0.207	1.133	0.002	0.002
0.197	1.117	0.002	0.002
-0.199	1.108	0.002	0.002
-0.205	1.108	0.002	0.002
-0.207	1.117	0.002	0.002
-0.215	1.125	0.002	0.002
-0.217	1.108	0.002	0.002
-0.224	1.117	0.002	0.002
-0.226	1.125	0.002	0.002
-0.23	1.133	0.002	0.002
-0.232	1.108	0.002	0.002
-0.232	1.117	0.002	0.002
-0.235	1.117	0.002	0.002
-0.237	1.133	0.002	0.002
-0.24	1.133	0.002	0.002
-0.242	1.108	0.002	0.002
-0.246	1.125	0.002	0.002
-0.252	1.117	0.002	0.002
-0.254	1.108	0.002	0.002
-0.257	1.108	0.002	0.002
-0.265	1.117	0.002	0.002
-0.268	1.125	0.002	0.002
-0.279	1.117	0.002	0.002
-0.282	1.108	0.002	0.002
-0.285	1.125	0.002	0.002
-0.285	1.133	0.002	0.002
-0.289	1.117	0.002	0.002
-0.289	1.125	0.002	0.002
-0.291	1.125	0.002	0.002
-0.293	1.133	0.002	0.002
-0.295	1.117	0.002	0.002
-0.298	1.117	0.002	0.002
-0.3	1.117	0.002	0.002
-0.31	1.108	0.002	0.002
-0.313	1.133	0.002	0.002
-0.318	1.142	0.002	0.002
-0.322	1.108	0.002	0.002
-0.323	1.133	0.002	0.002
-0.331	1.117	0.002	0.002
-0.337	1.125	0.002	0.002
-0.338	1.133	0.002	0.002
-0.343	1.108	0.002	0.002
-0.345	1.108	0.002	0.002
-0.345	1.15	0.002	0.002
-0.351	1.117	0.002	0.002
-0.351	1.125	0.002	0.002
