Time (seconds)	Amplitude (radians)	Time uncertainty (seconds)	Amplitude uncertainty (radians)
4.975	0.334	0.002	0.002
3.875	0.332	0.002	0.002
2.767	0.329	0.002	0.002
9.375	0.317	0.002	0.002
8.283	0.317	0.002	0.002
10.483	0.315	0.002	0.002
11.575	0.311	0.002	0.002
12.675	0.303	0.002	0.002
13.783	0.303	0.002	0.002
15.983	0.303	0.002	0.002
17.083	0.3	0.002	0.002
20.392	0.296	0.002	0.002
18.183	0.294	0.002	0.002
22.592	0.289	0.002	0.002
21.483	0.288	0.002	0.002
24.783	0.283	0.002	0.002
26.983	0.28	0.002	0.002
25.883	0.279	0.002	0.002
28.083	0.277	0.002	0.002
29.183	0.275	0.002	0.002
30.283	0.271	0.002	0.002
31.375	0.266	0.002	0.002
34.692	0.262	0.002	0.002
35.783	0.261	0.002	0.002
33.575	0.261	0.002	0.002
32.483	0.259	0.002	0.002
36.883	0.257	0.002	0.002
37.975	0.247	0.002	0.002
40.167	0.245	0.002	0.002
44.575	0.245	0.002	0.002
39.058	0.245	0.002	0.002
42.358	0.239	0.002	0.002
41.275	0.239	0.002	0.002
46.767	0.231	0.002	0.002
47.875	0.23	0.002	0.002
48.967	0.227	0.002	0.002
50.075	0.225	0.002	0.002
51.158	0.223	0.002	0.002
52.258	0.222	0.002	0.002
54.442	0.212	0.002	0.002
55.55	0.207	0.002	0.002
56.1	0.208	0.002	0.002
55.008	0.213	0.002	0.002
52.808	0.221	0.002	0.002
51.717	0.221	0.002	0.002
50.608	0.227	0.002	0.002
48.417	0.232	0.002	0.002
44.058	0.234	0.002	0.002
42.908	0.241	0.002	0.002
41.833	0.25	0.002	0.002
40.725	0.25	0.002	0.002
39.625	0.252	0.002	0.002
38.533	0.253	0.002	0.002
37.442	0.255	0.002	0.002
35.233	0.261	0.002	0.002
33.042	0.267	0.002	0.002
30.833	0.269	0.002	0.002
29.733	0.27	0.002	0.002
28.633	0.271	0.002	0.002
27.533	0.277	0.002	0.002
24.242	0.283	0.002	0.002
25.342	0.283	0.002	0.002
26.433	0.284	0.002	0.002
22.042	0.289	0.002	0.002
20.933	0.291	0.002	0.002
18.733	0.297	0.002	0.002
16.525	0.297	0.002	0.002
17.633	0.299	0.002	0.002
14.333	0.31	0.002	0.002
12.133	0.31	0.002	0.002
13.225	0.311	0.002	0.002
11.033	0.313	0.002	0.002
9.933	0.317	0.002	0.002
8.825	0.319	0.002	0.002
4.425	0.327	0.002	0.002
3.325	0.332	0.002	0.002
2.233	0.335	0.002	0.002
1.133	0.339	0.002	0.002
