Time (seconds)	Amplitude (radians)	Time uncertainty (seconds)	Amplitude uncertainty (radians)
3.5	0.324	0.002	0.002
4.642	0.318	0.002	0.002
5.783	0.315	0.002	0.002
10.358	0.314	0.002	0.002
2.358	0.313	0.002	0.002
11.5	0.313	0.002	0.002
13.792	0.311	0.002	0.002
8.067	0.311	0.002	0.002
12.65	0.311	0.002	0.002
9.208	0.309	0.002	0.002
16.083	0.308	0.002	0.002
17.217	0.306	0.002	0.002
6.942	0.305	0.002	0.002
18.358	0.303	0.002	0.002
20.642	0.298	0.002	0.002
21.783	0.296	0.002	0.002
22.925	0.293	0.002	0.002
24.058	0.291	0.002	0.002
26.35	0.288	0.002	0.002
27.475	0.286	0.002	0.002
28.642	0.283	0.002	0.002
29.767	0.281	0.002	0.002
30.917	0.28	0.002	0.002
32.042	0.276	0.002	0.002
33.192	0.275	0.002	0.002
34.333	0.273	0.002	0.002
35.483	0.27	0.002	0.002
36.625	0.268	0.002	0.002
37.75	0.265	0.002	0.002
38.9	0.262	0.002	0.002
40.025	0.26	0.002	0.002
41.183	0.257	0.002	0.002
43.45	0.252	0.002	0.002
42.9	0.246	0.002	0.002
41.767	0.249	0.002	0.002
39.475	0.255	0.002	0.002
38.325	0.257	0.002	0.002
37.183	0.26	0.002	0.002
36.058	0.262	0.002	0.002
33.775	0.268	0.002	0.002
32.617	0.268	0.002	0.002
31.483	0.271	0.002	0.002
30.342	0.273	0.002	0.002
29.2	0.276	0.002	0.002
26.933	0.28	0.002	0.002
25.783	0.281	0.002	0.002
24.642	0.285	0.002	0.002
23.5	0.287	0.002	0.002
12.067	0.293	0.002	0.002
20.083	0.294	0.002	0.002
18.925	0.294	0.002	0.002
17.792	0.298	0.002	0.002
16.65	0.3	0.002	0.002
15.517	0.302	0.002	0.002
13.217	0.306	0.002	0.002
10.933	0.307	0.002	0.002
9.792	0.315	0.002	0.002
8.642	0.323	0.002	0.002
5.225	0.33	0.002	0.002
6.358	0.333	0.002	0.002
2.933	0.338	0.002	0.002
7.508	0.34	0.002	0.002
4.083	0.341	0.002	0.002
1.8	0.349	0.002	0.002
0.667	0.354	0.002	0.002
