Amplitude (radians)	Period (seconds)	Amplitude uncertainty (radians)	Period uncertainty (seconds)
0.43	1.067	0.02	0.008
0.43	1.167	0.02	0.008
0.43	1.1	0.02	0.008
0.42	1.1	0.02	0.008
0.42	1.1	0.02	0.008
0.42	1.1	0.02	0.008
0.42	1.133	0.02	0.008
0.42	1.133	0.02	0.008
0.41	1.133	0.02	0.008
0.41	1.1	0.02	0.008
0.41	1.1	0.02	0.008
0.4	1.1	0.02	0.008
0.4	1.133	0.02	0.008
0.4	1.1	0.02	0.008
0.4	1.133	0.02	0.008
0.4	1.1	0.02	0.008
0.39	1.1	0.02	0.008
0.39	1.1	0.02	0.008
0.39	1.133	0.02	0.008
0.39	1.133	0.02	0.008
0.39	1.1	0.02	0.008
0.38	1.1	0.02	0.008
0.38	1.133	0.02	0.008
0.38	1.1	0.02	0.008
0.38	1.133	0.02	0.008
0.38	1.133	0.02	0.008
0.38	1.1	0.02	0.008
0.38	1.133	0.02	0.008
0.37	1.1	0.02	0.008
0.37	1.1	0.02	0.008
0.37	1.1	0.02	0.008
0.37	1.133	0.02	0.008
0.37	1.133	0.02	0.008
0.36	1.1	0.02	0.008
0.36	1.1	0.02	0.008
0.36	1.133	0.02	0.008
0.36	1.1	0.02	0.008
0.36	1.1	0.02	0.008
0.36	1.133	0.02	0.008
0.36	1.1	0.02	0.008
0.36	1.133	0.02	0.008
0.35	1.1	0.02	0.008
0.35	1.1	0.02	0.008
0.35	1.133	0.02	0.008
0.35	1.133	0.02	0.008
0.35	1.1	0.02	0.008
0.35	1.1	0.02	0.008
0.34	1.1	0.02	0.008
0.34	1.1	0.02	0.008
0.34	1.1	0.02	0.008
0.34	1.1	0.02	0.008
0.34	1.1	0.02	0.008
0.34	1.133	0.02	0.008
0.33	1.133	0.02	0.008
0.33	1.133	0.02	0.008
0.33	1.1	0.02	0.008
0.33	1.1	0.02	0.008
0.33	1.1	0.02	0.008
0.33	1.133	0.02	0.008
0.32	1.133	0.02	0.008
0.32	1.1	0.02	0.008
0.32	1.1	0.02	0.008
0.32	1.1	0.02	0.008
0.32	1.1	0.02	0.008
0.32	1.1	0.02	0.008
0.32	1.133	0.02	0.008
0.31	1.133	0.02	0.008
0.31	1.133	0.02	0.008
0.31	1.1	0.02	0.008
0.31	1.1	0.02	0.008
0.3	1.133	0.02	0.008
0.3	1.1	0.02	0.008
0.3	1.1	0.02	0.008
0.3	1.1	0.02	0.008
0.3	1.1	0.02	0.008
0.3	1.1	0.02	0.008
0.3	1.133	0.02	0.008
0.29	1.1	0.02	0.008
0.29	1.1	0.02	0.008
0.29	1.133	0.02	0.008
0.29	1.133	0.02	0.008
0.28	1.1	0.02	0.008
0.28	1.1	0.02	0.008
0.28	1.133	0.02	0.008
0.28	1.1	0.02	0.008
0.28	1.1	0.02	0.008
0.28	1.1	0.02	0.008
0.28	1.1	0.02	0.008
0.28	1.133	0.02	0.008
0.27	1.1	0.02	0.008
0.27	1.1	0.02	0.008
0.27	1.133	0.02	0.008
0.27	1.1	0.02	0.008
0.27	1.133	0.02	0.008
0.27	1.1	0.02	0.008
0.26	1.1	0.02	0.008
0.26	1.133	0.02	0.008
0.26	1.1	0.02	0.008
0.26	1.1	0.02	0.008
0.26	1.133	0.02	0.008
0.26	1.067	0.02	0.008
0.25	1.133	0.02	0.008
0.25	1.1	0.02	0.008
0.25	1.133	0.02	0.008
0.25	1.1	0.02	0.008
0.25	1.1	0.02	0.008
0.24	1.1	0.02	0.008
0.24	1.133	0.02	0.008
0.24	1.1	0.02	0.008
0.24	1.133	0.02	0.008
0.23	1.1	0.02	0.008
0.23	1.067	0.02	0.008
0.23	1.133	0.02	0.008
