Amplitude (radians)	Period (seconds)	Amplitude uncertainty (radians)	Period uncertainty (seconds)
0.324	1.142	0.002	0.002
0.318	1.142	0.002	0.002
0.315	1.158	0.002	0.002
0.314	1.142	0.002	0.002
0.313	1.142	0.002	0.002
0.313	1.15	0.002	0.002
0.311	1.125	0.002	0.002
0.311	1.142	0.002	0.002
0.311	1.142	0.002	0.002
0.309	1.15	0.002	0.002
0.308	1.133	0.002	0.002
0.306	1.142	0.002	0.002
0.305	1.125	0.002	0.002
0.303	1.133	0.002	0.002
0.298	1.125	0.002	0.002
0.296	1.117	0.002	0.002
0.293	1.133	0.002	0.002
0.291	1.15	0.002	0.002
0.288	1.125	0.002	0.002
0.286	1.142	0.002	0.002
0.283	1.125	0.002	0.002
0.281	1.15	0.002	0.002
0.28	1.125	0.002	0.002
0.276	1.15	0.002	0.002
0.275	1.142	0.002	0.002
0.273	1.117	0.002	0.002
0.27	1.142	0.002	0.002
0.268	1.125	0.002	0.002
0.265	1.15	0.002	0.002
0.262	1.125	0.002	0.002
0.26	1.142	0.002	0.002
0.257	1.125	0.002	0.002
0.252	1.15	0.002	0.002
-0.246	1.133	0.002	0.002
-0.249	1.117	0.002	0.002
-0.255	1.133	0.002	0.002
-0.257	1.15	0.002	0.002
-0.26	1.142	0.002	0.002
-0.262	1.125	0.002	0.002
-0.268	1.125	0.002	0.002
-0.268	1.158	0.002	0.002
-0.271	1.133	0.002	0.002
-0.273	1.142	0.002	0.002
-0.276	1.142	0.002	0.002
-0.28	1.133	0.002	0.002
-0.281	1.15	0.002	0.002
-0.285	1.125	0.002	0.002
-0.287	1.142	0.002	0.002
-0.293	1.15	0.002	0.002
-0.294	1.125	0.002	0.002
-0.294	1.142	0.002	0.002
-0.298	1.133	0.002	0.002
-0.3	1.142	0.002	0.002
-0.302	1.133	0.002	0.002
-0.306	1.142	0.002	0.002
-0.307	1.133	0.002	0.002
-0.315	1.142	0.002	0.002
-0.323	1.15	0.002	0.002
-0.33	1.133	0.002	0.002
-0.333	1.15	0.002	0.002
-0.338	1.15	0.002	0.002
-0.34	1.133	0.002	0.002
-0.341	1.142	0.002	0.002
-0.349	1.133	0.002	0.002
-0.354	1.117	0.002	0.002
