Time (seconds)	Amplitude (radians)	Time uncertainty (seconds)	Amplitude uncertainty (radians)
226.467	0.43	0.008	0.02
233.2	0.43	0.008	0.02
234.267	0.43	0.008	0.02
227.633	0.43	0.008	0.02
229.833	0.42	0.008	0.02
228.733	0.42	0.008	0.02
235.433	0.42	0.008	0.02
232.067	0.42	0.008	0.02
230.933	0.42	0.008	0.02
237.633	0.41	0.008	0.02
236.533	0.41	0.008	0.02
242.1	0.41	0.008	0.02
241.0	0.4	0.008	0.02
239.867	0.4	0.008	0.02
238.767	0.4	0.008	0.02
244.3	0.4	0.008	0.02
243.2	0.4	0.008	0.02
248.8	0.39	0.008	0.02
245.433	0.39	0.008	0.02
247.667	0.39	0.008	0.02
246.533	0.39	0.008	0.02
249.9	0.39	0.008	0.02
252.133	0.38	0.008	0.02
251.0	0.38	0.008	0.02
254.367	0.38	0.008	0.02
253.233	0.38	0.008	0.02
258.8	0.38	0.008	0.02
255.467	0.38	0.008	0.02
256.567	0.38	0.008	0.02
262.167	0.37	0.008	0.02
259.933	0.37	0.008	0.02
257.7	0.37	0.008	0.02
261.033	0.37	0.008	0.02
265.467	0.37	0.008	0.02
264.367	0.36	0.008	0.02
263.267	0.36	0.008	0.02
267.7	0.36	0.008	0.02
266.6	0.36	0.008	0.02
268.833	0.36	0.008	0.02
272.167	0.36	0.008	0.02
269.933	0.36	0.008	0.02
271.033	0.36	0.008	0.02
273.3	0.35	0.008	0.02
274.4	0.35	0.008	0.02
275.5	0.35	0.008	0.02
278.833	0.35	0.008	0.02
276.633	0.35	0.008	0.02
281.067	0.35	0.008	0.02
277.733	0.34	0.008	0.02
283.267	0.34	0.008	0.02
279.967	0.34	0.008	0.02
282.167	0.34	0.008	0.02
285.5	0.34	0.008	0.02
284.367	0.34	0.008	0.02
288.833	0.33	0.008	0.02
286.6	0.33	0.008	0.02
287.733	0.33	0.008	0.02
289.967	0.33	0.008	0.02
291.067	0.33	0.008	0.02
292.167	0.33	0.008	0.02
294.4	0.32	0.008	0.02
295.533	0.32	0.008	0.02
293.3	0.32	0.008	0.02
296.633	0.32	0.008	0.02
301.1	0.32	0.008	0.02
297.733	0.32	0.008	0.02
298.833	0.32	0.008	0.02
299.967	0.31	0.008	0.02
305.5	0.31	0.008	0.02
302.2	0.31	0.008	0.02
304.4	0.31	0.008	0.02
308.833	0.3	0.008	0.02
303.3	0.3	0.008	0.02
307.733	0.3	0.008	0.02
306.633	0.3	0.008	0.02
311.1	0.3	0.008	0.02
312.2	0.3	0.008	0.02
309.967	0.3	0.008	0.02
315.533	0.29	0.008	0.02
313.3	0.29	0.008	0.02
314.4	0.29	0.008	0.02
317.733	0.29	0.008	0.02
319.967	0.28	0.008	0.02
316.633	0.28	0.008	0.02
321.067	0.28	0.008	0.02
318.867	0.28	0.008	0.02
324.4	0.28	0.008	0.02
322.2	0.28	0.008	0.02
323.3	0.28	0.008	0.02
326.6	0.28	0.008	0.02
328.833	0.27	0.008	0.02
325.5	0.27	0.008	0.02
329.933	0.27	0.008	0.02
327.733	0.27	0.008	0.02
333.267	0.27	0.008	0.02
332.167	0.27	0.008	0.02
331.067	0.26	0.008	0.02
336.6	0.26	0.008	0.02
335.5	0.26	0.008	0.02
334.4	0.26	0.008	0.02
337.733	0.26	0.008	0.02
338.867	0.26	0.008	0.02
339.933	0.25	0.008	0.02
341.067	0.25	0.008	0.02
344.367	0.25	0.008	0.02
342.167	0.25	0.008	0.02
343.267	0.25	0.008	0.02
345.5	0.24	0.008	0.02
347.7	0.24	0.008	0.02
346.6	0.24	0.008	0.02
349.933	0.24	0.008	0.02
348.833	0.23	0.008	0.02
351.067	0.23	0.008	0.02
352.133	0.23	0.008	0.02
353.267	0.23	0.008	0.02
354.367	0.22	0.008	0.02
355.5	0.22	0.008	0.02
356.6	0.22	0.008	0.02
357.7	0.22	0.008	0.02
359.933	0.21	0.008	0.02
358.8	0.21	0.008	0.02
361.033	0.21	0.008	0.02
362.133	0.2	0.008	0.02
363.233	0.2	0.008	0.02
364.367	0.19	0.008	0.02
365.467	0.19	0.008	0.02
366.567	0.19	0.008	0.02
367.667	0.19	0.008	0.02
368.8	0.18	0.008	0.02
369.9	0.17	0.008	0.02
