Amplitude (radians)	Period (seconds)	Amplitude uncertainty (radians)	Period uncertainty (seconds)
0.419	1.0	0.002	0.008
0.412	1.0	0.002	0.008
0.41	1.0	0.002	0.008
0.403	1.0	0.002	0.008
0.401	1.0	0.002	0.008
0.392	1.0	0.002	0.008
0.39	1.0	0.002	0.008
0.389	1.0	0.002	0.008
0.38	1.0	0.002	0.008
0.368	1.0	0.002	0.008
0.366	1.0	0.002	0.008
0.353	1.0	0.002	0.008
0.34	1.0	0.002	0.008
0.338	1.0	0.002	0.008
0.334	1.0	0.002	0.008
0.33	1.0	0.002	0.008
0.329	1.0	0.002	0.008
0.327	1.0	0.002	0.008
0.327	1.0	0.002	0.008
0.319	1.0	0.002	0.008
0.317	1.0	0.002	0.008
0.317	1.0	0.002	0.008
0.314	1.0	0.002	0.008
0.31	1.0	0.002	0.008
0.31	1.0	0.002	0.008
0.306	1.0	0.002	0.008
0.302	1.0	0.002	0.008
0.302	1.0	0.002	0.008
0.3	1.0	0.002	0.008
0.298	1.0	0.002	0.008
0.295	1.0	0.002	0.008
0.294	1.0	0.002	0.008
0.292	1.0	0.002	0.008
0.291	1.0	0.002	0.008
0.288	1.0	0.002	0.008
0.284	1.0	0.002	0.008
0.28	1.0	0.002	0.008
0.279	1.0	0.002	0.008
0.277	1.0	0.002	0.008
0.277	1.0	0.002	0.008
0.275	1.0	0.002	0.008
0.273	1.0	0.002	0.008
0.266	1.0	0.002	0.008
0.263	1.0	0.002	0.008
0.262	1.0	0.002	0.008
0.262	1.0	0.002	0.008
0.256	1.0	0.002	0.008
0.251	1.0	0.002	0.008
0.242	1.0	0.002	0.008
0.236	1.0	0.002	0.008
0.225	1.033	0.002	0.008
0.211	1.0	0.002	0.008
0.205	1.0	0.002	0.008
0.198	1.0	0.002	0.008
0.181	1.0	0.002	0.008
0.177	1.0	0.002	0.008
0.169	1.0	0.002	0.008
0.168	1.0	0.002	0.008
0.159	1.0	0.002	0.008
0.152	1.0	0.002	0.008
0.144	1.0	0.002	0.008
0.138	1.0	0.002	0.008
-0.14	1.0	0.002	0.008
-0.146	1.0	0.002	0.008
-0.151	1.0	0.002	0.008
-0.152	1.0	0.002	0.008
-0.152	1.0	0.002	0.008
-0.165	1.0	0.002	0.008
-0.165	1.0	0.002	0.008
-0.178	1.0	0.002	0.008
-0.184	1.0	0.002	0.008
-0.191	1.0	0.002	0.008
-0.193	1.0	0.002	0.008
-0.202	1.0	0.002	0.008
-0.203	1.0	0.002	0.008
-0.208	1.0	0.002	0.008
-0.21	1.0	0.002	0.008
-0.216	1.0	0.002	0.008
-0.242	1.0	0.002	0.008
-0.244	1.0	0.002	0.008
-0.246	1.0	0.002	0.008
-0.247	1.0	0.002	0.008
-0.247	1.0	0.002	0.008
-0.249	1.0	0.002	0.008
-0.253	1.0	0.002	0.008
-0.256	1.0	0.002	0.008
-0.258	1.0	0.002	0.008
-0.26	1.0	0.002	0.008
-0.264	1.0	0.002	0.008
-0.267	1.0	0.002	0.008
-0.271	1.0	0.002	0.008
-0.276	1.0	0.002	0.008
-0.284	1.0	0.002	0.008
-0.284	1.0	0.002	0.008
-0.287	1.0	0.002	0.008
-0.288	1.0	0.002	0.008
-0.289	1.0	0.002	0.008
-0.291	1.0	0.002	0.008
-0.297	1.0	0.002	0.008
-0.298	1.0	0.002	0.008
-0.302	1.0	0.002	0.008
-0.303	1.0	0.002	0.008
-0.305	1.0	0.002	0.008
-0.311	1.0	0.002	0.008
-0.313	1.0	0.002	0.008
-0.314	1.0	0.002	0.008
-0.315	1.0	0.002	0.008
-0.316	1.0	0.002	0.008
-0.319	1.0	0.002	0.008
-0.319	1.0	0.002	0.008
-0.321	1.0	0.002	0.008
-0.328	1.0	0.002	0.008
-0.328	1.0	0.002	0.008
-0.331	1.0	0.002	0.008
-0.331	1.0	0.002	0.008
-0.337	1.0	0.002	0.008
-0.337	1.0	0.002	0.008
-0.338	1.0	0.002	0.008
-0.343	1.0	0.002	0.008
-0.345	1.0	0.002	0.008
-0.35	1.0	0.002	0.008
-0.36	1.0	0.002	0.008
-0.366	1.0	0.002	0.008
-0.366	1.0	0.002	0.008
-0.373	1.0	0.002	0.008
