Time (seconds)	Amplitude (radians)	Time uncertainty (seconds)	Amplitude uncertainty (radians)
2.0	0.35	0.008	0.002
0.9	0.348	0.008	0.002
3.133	0.348	0.008	0.002
4.267	0.342	0.008	0.002
8.733	0.338	0.008	0.002
5.367	0.337	0.008	0.002
7.633	0.335	0.008	0.002
6.5	0.331	0.008	0.002
9.867	0.329	0.008	0.002
12.1	0.325	0.008	0.002
11.0	0.325	0.008	0.002
13.233	0.317	0.008	0.002
15.467	0.312	0.008	0.002
14.367	0.312	0.008	0.002
17.733	0.308	0.008	0.002
16.6	0.304	0.008	0.002
18.867	0.3	0.008	0.002
21.067	0.297	0.008	0.002
19.967	0.294	0.008	0.002
22.2	0.291	0.008	0.002
24.467	0.281	0.008	0.002
23.333	0.28	0.008	0.002
27.8	0.277	0.008	0.002
26.7	0.274	0.008	0.002
25.567	0.274	0.008	0.002
28.933	0.273	0.008	0.002
30.067	0.27	0.008	0.002
31.167	0.268	0.008	0.002
33.433	0.263	0.008	0.002
34.533	0.258	0.008	0.002
36.767	0.254	0.008	0.002
35.633	0.253	0.008	0.002
37.9	0.248	0.008	0.002
39.033	0.248	0.008	0.002
40.133	0.245	0.008	0.002
41.267	0.239	0.008	0.002
42.367	0.232	0.008	0.002
43.5	0.229	0.008	0.002
44.6	0.226	0.008	0.002
45.733	0.224	0.008	0.002
46.833	0.222	0.008	0.002
47.967	0.213	0.008	0.002
49.067	0.212	0.008	0.002
50.2	0.209	0.008	0.002
51.333	0.201	0.008	0.002
52.433	0.199	0.008	0.002
53.567	0.195	0.008	0.002
