Time (seconds)	Amplitude (radians)	Time uncertainty (seconds)	Amplitude uncertainty (radians)
0.433	0.36	0.008	0.002
1.4	0.356	0.008	0.002
2.367	0.354	0.008	0.002
3.333	0.353	0.008	0.002
4.3	0.347	0.008	0.002
5.267	0.339	0.008	0.002
6.233	0.337	0.008	0.002
8.167	0.334	0.008	0.002
10.133	0.33	0.008	0.002
7.2	0.329	0.008	0.002
9.133	0.327	0.008	0.002
13.033	0.325	0.008	0.002
11.1	0.325	0.008	0.002
12.067	0.324	0.008	0.002
14.0	0.319	0.008	0.002
14.967	0.312	0.008	0.002
15.933	0.312	0.008	0.002
17.867	0.303	0.008	0.002
16.9	0.302	0.008	0.002
19.8	0.3	0.008	0.002
18.833	0.298	0.008	0.002
20.767	0.295	0.008	0.002
21.733	0.289	0.008	0.002
22.7	0.285	0.008	0.002
23.667	0.281	0.008	0.002
24.667	0.273	0.008	0.002
25.633	0.271	0.008	0.002
26.6	0.264	0.008	0.002
27.567	0.26	0.008	0.002
28.533	0.253	0.008	0.002
29.5	0.25	0.008	0.002
30.467	0.249	0.008	0.002
31.433	0.245	0.008	0.002
32.4	0.241	0.008	0.002
33.367	0.237	0.008	0.002
35.3	0.229	0.008	0.002
34.333	0.228	0.008	0.002
36.233	0.224	0.008	0.002
37.233	0.223	0.008	0.002
38.2	0.218	0.008	0.002
39.133	0.211	0.008	0.002
40.1	0.206	0.008	0.002
41.067	0.204	0.008	0.002
42.033	0.203	0.008	0.002
43.0	0.196	0.008	0.002
43.967	0.19	0.008	0.002
44.933	0.19	0.008	0.002
45.9	0.184	0.008	0.002
46.867	0.182	0.008	0.002
47.833	0.181	0.008	0.002
48.8	0.176	0.008	0.002
49.733	0.171	0.008	0.002
50.7	0.17	0.008	0.002
51.7	0.162	0.008	0.002
52.667	0.158	0.008	0.002
53.6	0.157	0.008	0.002
54.567	0.153	0.008	0.002
55.533	0.152	0.008	0.002
56.5	0.144	0.008	0.002
57.467	0.137	0.008	0.002
58.433	0.135	0.008	0.002
59.4	0.13	0.008	0.002
60.367	0.126	0.008	0.002
61.333	0.122	0.008	0.002
62.267	0.116	0.008	0.002
63.233	0.113	0.008	0.002
65.167	0.104	0.008	0.002
64.233	0.103	0.008	0.002
66.133	0.099	0.008	0.002
68.067	0.098	0.008	0.002
67.1	0.097	0.008	0.002
69.0	0.094	0.008	0.002
70.933	0.092	0.008	0.002
69.967	0.09	0.008	0.002
71.9	0.089	0.008	0.002
72.867	0.088	0.008	0.002
73.833	0.087	0.008	0.002
77.667	0.084	0.008	0.002
78.633	0.083	0.008	0.002
74.8	0.083	0.008	0.002
75.767	0.082	0.008	0.002
76.7	0.082	0.008	0.002
79.6	0.079	0.008	0.002
80.533	0.079	0.008	0.002
81.5	0.078	0.008	0.002
82.467	0.078	0.008	0.002
83.433	0.077	0.008	0.002
88.233	0.073	0.008	0.002
89.2	0.073	0.008	0.002
86.3	0.071	0.008	0.002
87.3	0.071	0.008	0.002
84.4	0.069	0.008	0.002
90.167	0.069	0.008	0.002
85.367	0.068	0.008	0.002
91.133	0.067	0.008	0.002
92.1	0.067	0.008	0.002
93.067	0.066	0.008	0.002
97.833	0.065	0.008	0.002
98.8	0.065	0.008	0.002
99.767	0.065	0.008	0.002
100.733	0.064	0.008	0.002
96.9	0.063	0.008	0.002
94.0	0.062	0.008	0.002
94.967	0.061	0.008	0.002
95.933	0.06	0.008	0.002
