Time (seconds)	Amplitude (radians)	Time uncertainty (seconds)	Amplitude uncertainty (radians)
0.2	0.391	0.008	0.002
1.2	0.387	0.008	0.002
2.233	0.385	0.008	0.002
3.267	0.383	0.008	0.002
4.267	0.383	0.008	0.002
5.3	0.381	0.008	0.002
7.333	0.38	0.008	0.002
6.3	0.377	0.008	0.002
10.4	0.375	0.008	0.002
8.367	0.375	0.008	0.002
12.433	0.373	0.008	0.002
11.4	0.371	0.008	0.002
13.467	0.37	0.008	0.002
14.467	0.37	0.008	0.002
17.533	0.368	0.008	0.002
15.5	0.367	0.008	0.002
16.5	0.366	0.008	0.002
19.567	0.365	0.008	0.002
20.6	0.362	0.008	0.002
18.533	0.362	0.008	0.002
22.633	0.36	0.008	0.002
21.6	0.36	0.008	0.002
23.633	0.356	0.008	0.002
24.667	0.356	0.008	0.002
25.7	0.354	0.008	0.002
27.733	0.353	0.008	0.002
26.7	0.353	0.008	0.002
28.733	0.349	0.008	0.002
29.767	0.346	0.008	0.002
30.767	0.346	0.008	0.002
34.867	0.344	0.008	0.002
33.833	0.344	0.008	0.002
32.8	0.341	0.008	0.002
35.867	0.337	0.008	0.002
36.9	0.337	0.008	0.002
38.933	0.334	0.008	0.002
37.9	0.333	0.008	0.002
39.933	0.332	0.008	0.002
40.967	0.329	0.008	0.002
42.0	0.329	0.008	0.002
43.0	0.327	0.008	0.002
44.033	0.322	0.008	0.002
45.033	0.321	0.008	0.002
46.067	0.318	0.008	0.002
48.1	0.316	0.008	0.002
47.067	0.315	0.008	0.002
49.1	0.312	0.008	0.002
50.133	0.309	0.008	0.002
52.167	0.306	0.008	0.002
51.133	0.306	0.008	0.002
54.2	0.302	0.008	0.002
53.2	0.301	0.008	0.002
55.233	0.296	0.008	0.002
57.267	0.296	0.008	0.002
56.233	0.294	0.008	0.002
58.267	0.292	0.008	0.002
59.3	0.288	0.008	0.002
60.3	0.285	0.008	0.002
61.333	0.276	0.008	0.002
63.367	0.274	0.008	0.002
64.367	0.272	0.008	0.002
62.333	0.271	0.008	0.002
65.4	0.271	0.008	0.002
66.433	0.261	0.008	0.002
69.467	0.261	0.008	0.002
70.467	0.26	0.008	0.002
67.433	0.26	0.008	0.002
71.5	0.258	0.008	0.002
68.433	0.256	0.008	0.002
72.5	0.255	0.008	0.002
73.533	0.25	0.008	0.002
75.567	0.248	0.008	0.002
74.533	0.247	0.008	0.002
76.567	0.244	0.008	0.002
77.6	0.24	0.008	0.002
80.633	0.236	0.008	0.002
78.633	0.235	0.008	0.002
79.633	0.234	0.008	0.002
81.667	0.233	0.008	0.002
82.7	0.23	0.008	0.002
83.7	0.226	0.008	0.002
85.733	0.223	0.008	0.002
84.7	0.222	0.008	0.002
86.767	0.219	0.008	0.002
87.767	0.216	0.008	0.002
89.8	0.209	0.008	0.002
88.767	0.207	0.008	0.002
90.8	0.201	0.008	0.002
91.833	0.193	0.008	0.002
92.833	0.188	0.008	0.002
93.867	0.184	0.008	0.002
94.867	0.182	0.008	0.002
96.9	0.179	0.008	0.002
95.867	0.178	0.008	0.002
97.9	0.177	0.008	0.002
98.9	0.167	0.008	0.002
