Amplitude (radians)	Period (seconds)	Amplitude uncertainty (radians)	Period uncertainty (seconds)
0.328	0.967	0.002	0.008
0.326	0.933	0.002	0.008
0.325	0.933	0.002	0.008
0.324	0.933	0.002	0.008
0.323	0.933	0.002	0.008
0.323	0.967	0.002	0.008
0.322	0.933	0.002	0.008
0.318	0.933	0.002	0.008
0.316	0.967	0.002	0.008
0.315	0.933	0.002	0.008
0.314	0.933	0.002	0.008
0.31	0.933	0.002	0.008
0.306	0.933	0.002	0.008
0.303	0.933	0.002	0.008
0.301	0.933	0.002	0.008
0.301	0.967	0.002	0.008
0.301	0.933	0.002	0.008
0.295	0.933	0.002	0.008
0.289	0.933	0.002	0.008
0.288	0.967	0.002	0.008
0.285	0.933	0.002	0.008
0.285	0.933	0.002	0.008
0.284	0.967	0.002	0.008
0.284	0.933	0.002	0.008
0.281	0.933	0.002	0.008
0.278	0.933	0.002	0.008
0.276	0.933	0.002	0.008
0.274	0.967	0.002	0.008
0.272	0.933	0.002	0.008
0.269	0.933	0.002	0.008
0.269	0.933	0.002	0.008
0.269	0.933	0.002	0.008
0.269	0.967	0.002	0.008
0.265	0.933	0.002	0.008
0.262	0.933	0.002	0.008
0.259	0.933	0.002	0.008
0.259	0.933	0.002	0.008
0.255	0.933	0.002	0.008
0.254	0.967	0.002	0.008
0.253	0.933	0.002	0.008
0.252	0.967	0.002	0.008
0.251	0.933	0.002	0.008
0.247	0.933	0.002	0.008
0.245	0.933	0.002	0.008
0.245	0.933	0.002	0.008
0.242	0.967	0.002	0.008
0.241	0.933	0.002	0.008
0.24	0.933	0.002	0.008
0.239	0.933	0.002	0.008
0.235	0.933	0.002	0.008
0.232	0.967	0.002	0.008
0.23	0.933	0.002	0.008
0.228	0.933	0.002	0.008
0.225	0.967	0.002	0.008
0.225	0.933	0.002	0.008
0.225	0.933	0.002	0.008
0.223	0.933	0.002	0.008
0.222	0.933	0.002	0.008
0.219	0.933	0.002	0.008
0.215	0.967	0.002	0.008
0.214	0.933	0.002	0.008
0.214	0.933	0.002	0.008
0.213	0.933	0.002	0.008
0.211	0.933	0.002	0.008
0.207	0.967	0.002	0.008
0.205	0.933	0.002	0.008
0.205	0.967	0.002	0.008
0.203	0.933	0.002	0.008
0.203	0.933	0.002	0.008
0.203	0.933	0.002	0.008
0.202	0.933	0.002	0.008
0.201	0.933	0.002	0.008
0.198	0.967	0.002	0.008
0.196	0.933	0.002	0.008
0.19	0.933	0.002	0.008
0.188	0.933	0.002	0.008
0.187	0.933	0.002	0.008
0.184	0.933	0.002	0.008
0.184	0.967	0.002	0.008
0.183	0.933	0.002	0.008
0.179	0.967	0.002	0.008
0.178	0.933	0.002	0.008
0.175	0.933	0.002	0.008
0.17	0.933	0.002	0.008
0.169	0.933	0.002	0.008
0.167	0.967	0.002	0.008
0.157	0.933	0.002	0.008
0.156	0.933	0.002	0.008
0.156	0.933	0.002	0.008
0.153	0.933	0.002	0.008
0.153	0.933	0.002	0.008
0.15	0.933	0.002	0.008
0.15	0.933	0.002	0.008
0.148	0.933	0.002	0.008
0.145	0.933	0.002	0.008
0.144	0.967	0.002	0.008
0.144	0.9	0.002	0.008
0.142	0.933	0.002	0.008
0.139	0.967	0.002	0.008
0.134	0.933	0.002	0.008
0.134	0.933	0.002	0.008
0.133	0.933	0.002	0.008
0.133	0.967	0.002	0.008
0.131	0.933	0.002	0.008
0.131	0.967	0.002	0.008
0.129	0.933	0.002	0.008
