Amplitude (radians)	Period (seconds)	Amplitude uncertainty (radians)	Period uncertainty (seconds)
0.391	1.0	0.002	0.008
0.387	1.033	0.002	0.008
0.385	1.033	0.002	0.008
0.383	1.0	0.002	0.008
0.383	1.033	0.002	0.008
0.381	1.0	0.002	0.008
0.38	1.033	0.002	0.008
0.377	1.033	0.002	0.008
0.375	1.0	0.002	0.008
0.375	1.0	0.002	0.008
0.373	1.033	0.002	0.008
0.371	1.033	0.002	0.008
0.37	1.0	0.002	0.008
0.37	1.033	0.002	0.008
0.368	1.0	0.002	0.008
0.367	1.0	0.002	0.008
0.366	1.033	0.002	0.008
0.365	1.033	0.002	0.008
0.362	1.0	0.002	0.008
0.362	1.033	0.002	0.008
0.36	1.0	0.002	0.008
0.36	1.033	0.002	0.008
0.356	1.033	0.002	0.008
0.356	1.033	0.002	0.008
0.354	1.0	0.002	0.008
0.353	1.0	0.002	0.008
0.353	1.033	0.002	0.008
0.349	1.033	0.002	0.008
0.346	1.0	0.002	0.008
0.346	1.033	0.002	0.008
0.344	1.0	0.002	0.008
0.344	1.033	0.002	0.008
0.341	1.033	0.002	0.008
0.337	1.033	0.002	0.008
0.337	1.0	0.002	0.008
0.334	1.0	0.002	0.008
0.333	1.033	0.002	0.008
0.332	1.033	0.002	0.008
0.329	1.033	0.002	0.008
0.329	1.0	0.002	0.008
0.327	1.033	0.002	0.008
0.322	1.0	0.002	0.008
0.321	1.033	0.002	0.008
0.318	1.0	0.002	0.008
0.316	1.0	0.002	0.008
0.315	1.033	0.002	0.008
0.312	1.033	0.002	0.008
0.309	1.0	0.002	0.008
0.306	1.033	0.002	0.008
0.306	1.033	0.002	0.008
0.302	1.033	0.002	0.008
0.301	1.0	0.002	0.008
0.296	1.0	0.002	0.008
0.296	1.0	0.002	0.008
0.294	1.033	0.002	0.008
0.292	1.033	0.002	0.008
0.288	1.0	0.002	0.008
0.285	1.033	0.002	0.008
0.276	1.0	0.002	0.008
0.274	1.0	0.002	0.008
0.272	1.033	0.002	0.008
0.271	1.033	0.002	0.008
0.271	1.033	0.002	0.008
0.261	1.0	0.002	0.008
0.261	1.0	0.002	0.008
0.26	1.033	0.002	0.008
0.26	1.0	0.002	0.008
0.258	1.0	0.002	0.008
0.256	1.033	0.002	0.008
0.255	1.033	0.002	0.008
0.25	1.0	0.002	0.008
0.248	1.0	0.002	0.008
0.247	1.033	0.002	0.008
0.244	1.033	0.002	0.008
0.24	1.033	0.002	0.008
0.236	1.033	0.002	0.008
0.235	1.0	0.002	0.008
0.234	1.0	0.002	0.008
0.233	1.033	0.002	0.008
0.23	1.0	0.002	0.008
0.226	1.0	0.002	0.008
0.223	1.033	0.002	0.008
0.222	1.033	0.002	0.008
0.219	1.0	0.002	0.008
0.216	1.0	0.002	0.008
0.209	1.0	0.002	0.008
0.207	1.033	0.002	0.008
0.201	1.033	0.002	0.008
0.193	1.0	0.002	0.008
0.188	1.033	0.002	0.008
0.184	1.0	0.002	0.008
0.182	1.0	0.002	0.008
0.179	1.0	0.002	0.008
0.178	1.033	0.002	0.008
0.177	1.0	0.002	0.008
0.167	1.033	0.002	0.008
-0.134	1.0	0.002	0.008
-0.136	1.0	0.002	0.008
-0.141	1.033	0.002	0.008
-0.152	1.0	0.002	0.008
-0.161	1.033	0.002	0.008
-0.173	1.0	0.002	0.008
-0.178	1.033	0.002	0.008
-0.18	1.0	0.002	0.008
-0.186	1.033	0.002	0.008
-0.188	1.0	0.002	0.008
-0.194	1.033	0.002	0.008
-0.194	1.0	0.002	0.008
-0.196	1.033	0.002	0.008
-0.197	1.0	0.002	0.008
-0.204	1.0	0.002	0.008
-0.209	1.0	0.002	0.008
-0.21	1.033	0.002	0.008
-0.216	1.033	0.002	0.008
-0.221	1.0	0.002	0.008
-0.223	1.033	0.002	0.008
-0.228	1.0	0.002	0.008
-0.228	1.0	0.002	0.008
-0.228	1.033	0.002	0.008
-0.231	1.033	0.002	0.008
-0.232	1.0	0.002	0.008
-0.238	1.033	0.002	0.008
-0.239	1.033	0.002	0.008
-0.239	1.0	0.002	0.008
-0.24	1.033	0.002	0.008
-0.242	1.0	0.002	0.008
-0.245	1.0	0.002	0.008
-0.251	1.033	0.002	0.008
-0.255	1.0	0.002	0.008
-0.255	1.0	0.002	0.008
-0.258	1.033	0.002	0.008
-0.261	1.033	0.002	0.008
-0.266	1.0	0.002	0.008
-0.267	1.033	0.002	0.008
-0.267	1.033	0.002	0.008
-0.269	1.0	0.002	0.008
-0.27	1.0	0.002	0.008
-0.274	1.033	0.002	0.008
-0.276	1.033	0.002	0.008
-0.28	1.0	0.002	0.008
-0.287	1.0	0.002	0.008
-0.287	1.033	0.002	0.008
-0.29	1.033	0.002	0.008
-0.293	1.0	0.002	0.008
-0.297	1.033	0.002	0.008
-0.297	1.0	0.002	0.008
-0.3	1.033	0.002	0.008
-0.301	1.033	0.002	0.008
