Time (seconds)	Amplitude (radians)	Time uncertainty (seconds)	Amplitude uncertainty (radians)
6.9	0.419	0.008	0.002
5.9	0.412	0.008	0.002
1.933	0.41	0.008	0.002
4.9	0.403	0.008	0.002
9.867	0.401	0.008	0.002
10.867	0.392	0.008	0.002
11.867	0.39	0.008	0.002
2.933	0.389	0.008	0.002
13.833	0.38	0.008	0.002
8.867	0.368	0.008	0.002
15.833	0.366	0.008	0.002
14.833	0.353	0.008	0.002
17.8	0.34	0.008	0.002
18.8	0.338	0.008	0.002
20.767	0.334	0.008	0.002
21.767	0.33	0.008	0.002
24.733	0.329	0.008	0.002
25.733	0.327	0.008	0.002
23.733	0.327	0.008	0.002
28.7	0.319	0.008	0.002
31.667	0.317	0.008	0.002
27.7	0.317	0.008	0.002
30.667	0.314	0.008	0.002
32.667	0.31	0.008	0.002
34.633	0.31	0.008	0.002
36.6	0.306	0.008	0.002
37.6	0.302	0.008	0.002
40.567	0.302	0.008	0.002
38.6	0.3	0.008	0.002
41.567	0.298	0.008	0.002
42.567	0.295	0.008	0.002
44.533	0.294	0.008	0.002
46.5	0.292	0.008	0.002
48.5	0.291	0.008	0.002
47.5	0.288	0.008	0.002
50.467	0.284	0.008	0.002
53.433	0.28	0.008	0.002
51.467	0.279	0.008	0.002
58.367	0.277	0.008	0.002
59.367	0.277	0.008	0.002
55.4	0.275	0.008	0.002
56.4	0.273	0.008	0.002
61.333	0.266	0.008	0.002
70.233	0.263	0.008	0.002
62.333	0.262	0.008	0.002
71.233	0.262	0.008	0.002
63.333	0.256	0.008	0.002
65.3	0.251	0.008	0.002
67.267	0.242	0.008	0.002
68.267	0.236	0.008	0.002
74.167	0.225	0.008	0.002
76.167	0.211	0.008	0.002
78.133	0.205	0.008	0.002
79.133	0.198	0.008	0.002
81.1	0.181	0.008	0.002
84.033	0.177	0.008	0.002
86.967	0.169	0.008	0.002
87.967	0.168	0.008	0.002
90.9	0.159	0.008	0.002
92.867	0.152	0.008	0.002
94.833	0.144	0.008	0.002
97.767	0.138	0.008	0.002
