Time (seconds)	Amplitude (radians)	Time uncertainty (seconds)	Amplitude uncertainty (radians)
1.433	0.328	0.008	0.002
0.5	0.326	0.008	0.002
2.4	0.325	0.008	0.002
3.333	0.324	0.008	0.002
4.267	0.323	0.008	0.002
5.2	0.323	0.008	0.002
6.167	0.322	0.008	0.002
7.1	0.318	0.008	0.002
8.033	0.316	0.008	0.002
9.0	0.315	0.008	0.002
10.867	0.314	0.008	0.002
9.933	0.31	0.008	0.002
11.8	0.306	0.008	0.002
12.733	0.303	0.008	0.002
15.567	0.301	0.008	0.002
13.667	0.301	0.008	0.002
14.633	0.301	0.008	0.002
16.5	0.295	0.008	0.002
18.4	0.289	0.008	0.002
17.433	0.288	0.008	0.002
21.2	0.285	0.008	0.002
19.333	0.285	0.008	0.002
22.133	0.284	0.008	0.002
20.267	0.284	0.008	0.002
23.1	0.281	0.008	0.002
24.967	0.278	0.008	0.002
24.033	0.276	0.008	0.002
25.9	0.274	0.008	0.002
26.867	0.272	0.008	0.002
30.633	0.269	0.008	0.002
28.733	0.269	0.008	0.002
27.8	0.269	0.008	0.002
29.667	0.269	0.008	0.002
31.567	0.265	0.008	0.002
32.5	0.262	0.008	0.002
34.367	0.259	0.008	0.002
33.433	0.259	0.008	0.002
36.267	0.255	0.008	0.002
35.3	0.254	0.008	0.002
37.2	0.253	0.008	0.002
39.067	0.252	0.008	0.002
38.133	0.251	0.008	0.002
40.033	0.247	0.008	0.002
41.9	0.245	0.008	0.002
40.967	0.245	0.008	0.002
42.833	0.242	0.008	0.002
43.8	0.241	0.008	0.002
44.733	0.24	0.008	0.002
45.667	0.239	0.008	0.002
46.6	0.235	0.008	0.002
47.533	0.232	0.008	0.002
48.5	0.23	0.008	0.002
49.433	0.228	0.008	0.002
52.233	0.225	0.008	0.002
53.2	0.225	0.008	0.002
50.367	0.225	0.008	0.002
51.3	0.223	0.008	0.002
55.067	0.222	0.008	0.002
54.133	0.219	0.008	0.002
56.0	0.215	0.008	0.002
57.9	0.214	0.008	0.002
58.833	0.214	0.008	0.002
56.967	0.213	0.008	0.002
59.767	0.211	0.008	0.002
60.7	0.207	0.008	0.002
62.6	0.205	0.008	0.002
64.467	0.205	0.008	0.002
61.667	0.203	0.008	0.002
65.433	0.203	0.008	0.002
63.533	0.203	0.008	0.002
67.3	0.202	0.008	0.002
66.367	0.201	0.008	0.002
68.233	0.198	0.008	0.002
69.2	0.196	0.008	0.002
71.067	0.19	0.008	0.002
70.133	0.188	0.008	0.002
73.9	0.187	0.008	0.002
72.0	0.184	0.008	0.002
72.933	0.184	0.008	0.002
74.833	0.183	0.008	0.002
75.767	0.179	0.008	0.002
76.733	0.178	0.008	0.002
78.6	0.175	0.008	0.002
79.533	0.17	0.008	0.002
77.667	0.169	0.008	0.002
80.467	0.167	0.008	0.002
81.433	0.157	0.008	0.002
85.167	0.156	0.008	0.002
82.367	0.156	0.008	0.002
84.233	0.153	0.008	0.002
83.3	0.153	0.008	0.002
87.033	0.15	0.008	0.002
86.1	0.15	0.008	0.002
87.967	0.148	0.008	0.002
88.9	0.145	0.008	0.002
89.833	0.144	0.008	0.002
90.8	0.144	0.008	0.002
91.7	0.142	0.008	0.002
92.633	0.139	0.008	0.002
93.6	0.134	0.008	0.002
98.333	0.134	0.008	0.002
96.433	0.133	0.008	0.002
94.533	0.133	0.008	0.002
95.5	0.131	0.008	0.002
97.367	0.131	0.008	0.002
99.267	0.129	0.008	0.002
