Amplitude (radians)	Period (seconds)	Amplitude uncertainty (radians)	Period uncertainty (seconds)
0.36	0.967	0.002	0.008
0.356	0.967	0.002	0.008
0.354	0.967	0.002	0.008
0.353	0.967	0.002	0.008
0.347	0.967	0.002	0.008
0.339	0.967	0.002	0.008
0.337	0.967	0.002	0.008
0.334	0.967	0.002	0.008
0.33	0.967	0.002	0.008
0.329	0.967	0.002	0.008
0.327	1.0	0.002	0.008
0.325	0.967	0.002	0.008
0.325	0.967	0.002	0.008
0.324	0.967	0.002	0.008
0.319	0.967	0.002	0.008
0.312	0.967	0.002	0.008
0.312	0.967	0.002	0.008
0.303	0.967	0.002	0.008
0.302	0.967	0.002	0.008
0.3	0.967	0.002	0.008
0.298	0.967	0.002	0.008
0.295	0.967	0.002	0.008
0.289	0.967	0.002	0.008
0.285	0.967	0.002	0.008
0.281	1.0	0.002	0.008
0.273	0.967	0.002	0.008
0.271	0.967	0.002	0.008
0.264	0.967	0.002	0.008
0.26	0.967	0.002	0.008
0.253	0.967	0.002	0.008
0.25	0.967	0.002	0.008
0.249	0.967	0.002	0.008
0.245	0.967	0.002	0.008
0.241	0.967	0.002	0.008
0.237	0.967	0.002	0.008
0.229	0.933	0.002	0.008
0.228	0.967	0.002	0.008
0.224	1.0	0.002	0.008
0.223	0.967	0.002	0.008
0.218	0.933	0.002	0.008
0.211	0.967	0.002	0.008
0.206	0.967	0.002	0.008
0.204	0.967	0.002	0.008
0.203	0.967	0.002	0.008
0.196	0.967	0.002	0.008
0.19	0.967	0.002	0.008
0.19	0.967	0.002	0.008
0.184	0.967	0.002	0.008
0.182	0.967	0.002	0.008
0.181	0.967	0.002	0.008
0.176	0.933	0.002	0.008
0.171	0.967	0.002	0.008
0.17	1.0	0.002	0.008
0.162	0.967	0.002	0.008
0.158	0.933	0.002	0.008
0.157	0.967	0.002	0.008
0.153	0.967	0.002	0.008
0.152	0.967	0.002	0.008
0.144	0.967	0.002	0.008
0.137	0.967	0.002	0.008
0.135	0.967	0.002	0.008
0.13	0.967	0.002	0.008
0.126	0.967	0.002	0.008
0.122	0.933	0.002	0.008
0.116	0.967	0.002	0.008
0.113	1.0	0.002	0.008
0.104	0.967	0.002	0.008
0.103	0.933	0.002	0.008
0.099	0.967	0.002	0.008
0.098	0.933	0.002	0.008
0.097	0.967	0.002	0.008
0.094	0.967	0.002	0.008
0.092	0.967	0.002	0.008
0.09	0.967	0.002	0.008
0.089	0.967	0.002	0.008
0.088	0.967	0.002	0.008
0.087	0.967	0.002	0.008
0.084	0.967	0.002	0.008
0.083	0.967	0.002	0.008
0.083	0.967	0.002	0.008
0.082	0.933	0.002	0.008
0.082	0.967	0.002	0.008
0.079	0.933	0.002	0.008
0.079	0.967	0.002	0.008
0.078	0.967	0.002	0.008
0.078	0.967	0.002	0.008
0.077	0.967	0.002	0.008
0.073	0.967	0.002	0.008
0.073	0.967	0.002	0.008
0.071	1.0	0.002	0.008
0.071	0.933	0.002	0.008
0.069	0.967	0.002	0.008
0.069	0.967	0.002	0.008
0.068	0.933	0.002	0.008
0.067	0.967	0.002	0.008
0.067	0.967	0.002	0.008
0.066	0.933	0.002	0.008
0.065	0.967	0.002	0.008
0.065	0.967	0.002	0.008
0.065	0.967	0.002	0.008
0.064	0.967	0.002	0.008
0.063	0.933	0.002	0.008
