Amplitude (radians)	Period (seconds)	Amplitude uncertainty (radians)	Period uncertainty (seconds)
0.338	1.1	0.002	0.008
0.337	1.1	0.002	0.008
0.334	1.1	0.002	0.008
0.332	1.1	0.002	0.008
0.329	1.1	0.002	0.008
0.323	1.1	0.002	0.008
0.32	1.1	0.002	0.008
0.318	1.1	0.002	0.008
0.317	1.133	0.002	0.008
0.313	1.067	0.002	0.008
0.31	1.1	0.002	0.008
0.303	1.133	0.002	0.008
0.302	1.067	0.002	0.008
0.302	1.1	0.002	0.008
0.299	1.1	0.002	0.008
0.296	1.1	0.002	0.008
0.296	1.133	0.002	0.008
0.296	1.1	0.002	0.008
0.294	1.1	0.002	0.008
0.293	1.1	0.002	0.008
0.288	1.1	0.002	0.008
0.288	1.1	0.002	0.008
0.282	1.1	0.002	0.008
0.279	1.1	0.002	0.008
0.278	1.1	0.002	0.008
0.276	1.1	0.002	0.008
0.275	1.1	0.002	0.008
0.27	1.1	0.002	0.008
0.265	1.067	0.002	0.008
0.263	1.133	0.002	0.008
0.26	1.067	0.002	0.008
0.26	1.067	0.002	0.008
0.259	1.133	0.002	0.008
0.257	1.1	0.002	0.008
0.246	1.1	0.002	0.008
0.245	1.1	0.002	0.008
0.245	1.1	0.002	0.008
0.244	1.1	0.002	0.008
0.242	1.1	0.002	0.008
0.239	1.1	0.002	0.008
0.239	1.1	0.002	0.008
0.233	1.1	0.002	0.008
0.231	1.1	0.002	0.008
0.23	1.1	0.002	0.008
0.227	1.1	0.002	0.008
0.225	1.1	0.002	0.008
0.223	1.1	0.002	0.008
0.222	1.1	0.002	0.008
0.219	1.067	0.002	0.008
0.211	1.1	0.002	0.008
0.207	1.133	0.002	0.008
-0.208	1.1	0.002	0.008
-0.212	1.067	0.002	0.008
-0.218	1.133	0.002	0.008
-0.22	1.067	0.002	0.008
-0.221	1.1	0.002	0.008
-0.227	1.133	0.002	0.008
-0.23	1.067	0.002	0.008
-0.231	1.1	0.002	0.008
-0.234	1.1	0.002	0.008
-0.235	1.1	0.002	0.008
-0.235	1.1	0.002	0.008
-0.241	1.1	0.002	0.008
-0.242	1.1	0.002	0.008
-0.249	1.1	0.002	0.008
-0.25	1.1	0.002	0.008
-0.252	1.1	0.002	0.008
-0.253	1.1	0.002	0.008
-0.255	1.1	0.002	0.008
-0.258	1.1	0.002	0.008
-0.261	1.1	0.002	0.008
-0.264	1.1	0.002	0.008
-0.267	1.1	0.002	0.008
-0.267	1.1	0.002	0.008
-0.269	1.1	0.002	0.008
-0.27	1.1	0.002	0.008
-0.271	1.1	0.002	0.008
-0.277	1.1	0.002	0.008
-0.282	1.1	0.002	0.008
-0.283	1.1	0.002	0.008
-0.284	1.1	0.002	0.008
-0.288	1.1	0.002	0.008
-0.289	1.1	0.002	0.008
-0.291	1.1	0.002	0.008
-0.292	1.1	0.002	0.008
-0.297	1.1	0.002	0.008
-0.297	1.1	0.002	0.008
-0.299	1.1	0.002	0.008
-0.304	1.1	0.002	0.008
-0.31	1.1	0.002	0.008
-0.31	1.1	0.002	0.008
-0.311	1.1	0.002	0.008
-0.313	1.1	0.002	0.008
-0.317	1.1	0.002	0.008
-0.318	1.1	0.002	0.008
-0.321	1.1	0.002	0.008
-0.323	1.1	0.002	0.008
-0.325	1.1	0.002	0.008
-0.327	1.1	0.002	0.008
-0.332	1.1	0.002	0.008
-0.335	1.1	0.002	0.008
-0.338	1.1	0.002	0.008
-0.339	1.1	0.002	0.008
