Time (seconds)	Amplitude (radians)	Time uncertainty (seconds)	Amplitude uncertainty (radians)
3.5	0.324	0.008	0.002
0.1	0.323	0.008	0.002
4.633	0.318	0.008	0.002
5.8	0.315	0.008	0.002
10.367	0.314	0.008	0.002
1.233	0.314	0.008	0.002
11.5	0.313	0.008	0.002
2.367	0.312	0.008	0.002
8.067	0.311	0.008	0.002
13.8	0.311	0.008	0.002
12.667	0.31	0.008	0.002
14.933	0.309	0.008	0.002
9.233	0.308	0.008	0.002
16.067	0.307	0.008	0.002
17.233	0.305	0.008	0.002
6.933	0.304	0.008	0.002
18.367	0.303	0.008	0.002
19.5	0.301	0.008	0.002
20.633	0.298	0.008	0.002
21.767	0.297	0.008	0.002
22.9	0.294	0.008	0.002
24.067	0.291	0.008	0.002
25.2	0.29	0.008	0.002
26.367	0.287	0.008	0.002
27.5	0.285	0.008	0.002
28.633	0.283	0.008	0.002
29.767	0.281	0.008	0.002
30.933	0.279	0.008	0.002
32.067	0.275	0.008	0.002
33.2	0.275	0.008	0.002
34.333	0.273	0.008	0.002
35.5	0.269	0.008	0.002
36.633	0.267	0.008	0.002
37.767	0.264	0.008	0.002
38.9	0.262	0.008	0.002
40.033	0.26	0.008	0.002
41.167	0.257	0.008	0.002
42.3	0.254	0.008	0.002
43.467	0.252	0.008	0.002
