Amplitude (radians)	Period (seconds)	Amplitude uncertainty (radians)	Period uncertainty (seconds)
0.35	1.133	0.002	0.008
0.348	1.1	0.002	0.008
0.348	1.133	0.002	0.008
0.342	1.1	0.002	0.008
0.338	1.133	0.002	0.008
0.337	1.133	0.002	0.008
0.335	1.1	0.002	0.008
0.331	1.133	0.002	0.008
0.329	1.133	0.002	0.008
0.325	1.133	0.002	0.008
0.325	1.1	0.002	0.008
0.317	1.133	0.002	0.008
0.312	1.133	0.002	0.008
0.312	1.1	0.002	0.008
0.308	1.133	0.002	0.008
0.304	1.133	0.002	0.008
0.3	1.1	0.002	0.008
0.297	1.133	0.002	0.008
0.294	1.1	0.002	0.008
0.291	1.133	0.002	0.008
0.281	1.1	0.002	0.008
0.28	1.133	0.002	0.008
0.277	1.133	0.002	0.008
0.274	1.1	0.002	0.008
0.274	1.133	0.002	0.008
0.273	1.133	0.002	0.008
0.27	1.1	0.002	0.008
0.268	1.133	0.002	0.008
0.263	1.1	0.002	0.008
0.258	1.1	0.002	0.008
0.254	1.133	0.002	0.008
0.253	1.133	0.002	0.008
0.248	1.133	0.002	0.008
0.248	1.1	0.002	0.008
0.245	1.133	0.002	0.008
0.239	1.1	0.002	0.008
0.232	1.133	0.002	0.008
0.229	1.1	0.002	0.008
0.226	1.133	0.002	0.008
0.224	1.1	0.002	0.008
0.222	1.133	0.002	0.008
0.213	1.1	0.002	0.008
0.212	1.133	0.002	0.008
0.209	1.133	0.002	0.008
0.201	1.1	0.002	0.008
0.199	1.133	0.002	0.008
0.195	1.1	0.002	0.008
-0.186	1.133	0.002	0.008
-0.197	1.133	0.002	0.008
-0.202	1.1	0.002	0.008
-0.205	1.133	0.002	0.008
-0.212	1.133	0.002	0.008
-0.215	1.1	0.002	0.008
-0.218	1.1	0.002	0.008
-0.221	1.1	0.002	0.008
-0.224	1.133	0.002	0.008
-0.227	1.133	0.002	0.008
-0.23	1.133	0.002	0.008
-0.23	1.133	0.002	0.008
-0.232	1.1	0.002	0.008
-0.234	1.133	0.002	0.008
-0.237	1.133	0.002	0.008
-0.24	1.1	0.002	0.008
-0.244	1.133	0.002	0.008
-0.249	1.1	0.002	0.008
-0.251	1.133	0.002	0.008
-0.254	1.133	0.002	0.008
-0.262	1.1	0.002	0.008
-0.266	1.133	0.002	0.008
-0.266	1.133	0.002	0.008
-0.276	1.1	0.002	0.008
-0.279	1.1	0.002	0.008
-0.28	1.1	0.002	0.008
-0.282	1.133	0.002	0.008
-0.282	1.133	0.002	0.008
-0.286	1.133	0.002	0.008
-0.287	1.133	0.002	0.008
-0.287	1.1	0.002	0.008
-0.29	1.133	0.002	0.008
-0.292	1.133	0.002	0.008
-0.295	1.133	0.002	0.008
-0.297	1.1	0.002	0.008
-0.307	1.1	0.002	0.008
-0.31	1.133	0.002	0.008
-0.314	1.167	0.002	0.008
-0.319	1.1	0.002	0.008
-0.32	1.133	0.002	0.008
-0.327	1.133	0.002	0.008
-0.335	1.1	0.002	0.008
-0.336	1.133	0.002	0.008
-0.339	1.1	0.002	0.008
-0.342	1.133	0.002	0.008
-0.342	1.133	0.002	0.008
-0.348	1.1	0.002	0.008
-0.348	1.133	0.002	0.008
