Time (seconds)	Amplitude (radians)	Time uncertainty (seconds)	Amplitude uncertainty (radians)
1.4	0.359	0.008	0.002
2.5	0.359	0.008	0.002
0.333	0.357	0.008	0.002
7.867	0.355	0.008	0.002
6.8	0.355	0.008	0.002
4.633	0.355	0.008	0.002
3.567	0.354	0.008	0.002
10.033	0.353	0.008	0.002
5.733	0.353	0.008	0.002
11.1	0.352	0.008	0.002
13.267	0.35	0.008	0.002
15.433	0.349	0.008	0.002
8.967	0.349	0.008	0.002
12.2	0.345	0.008	0.002
14.333	0.344	0.008	0.002
17.567	0.34	0.008	0.002
18.633	0.337	0.008	0.002
16.5	0.335	0.008	0.002
20.8	0.335	0.008	0.002
19.733	0.335	0.008	0.002
24.033	0.332	0.008	0.002
22.967	0.33	0.008	0.002
21.9	0.328	0.008	0.002
27.267	0.325	0.008	0.002
25.133	0.325	0.008	0.002
26.2	0.324	0.008	0.002
28.367	0.321	0.008	0.002
29.433	0.319	0.008	0.002
31.5	0.316	0.008	0.002
33.667	0.314	0.008	0.002
32.6	0.313	0.008	0.002
34.733	0.313	0.008	0.002
30.5	0.312	0.008	0.002
35.833	0.31	0.008	0.002
36.9	0.308	0.008	0.002
37.967	0.308	0.008	0.002
40.133	0.305	0.008	0.002
39.067	0.304	0.008	0.002
43.367	0.302	0.008	0.002
42.267	0.302	0.008	0.002
41.233	0.3	0.008	0.002
45.5	0.299	0.008	0.002
47.667	0.295	0.008	0.002
48.733	0.295	0.008	0.002
44.433	0.294	0.008	0.002
46.6	0.293	0.008	0.002
49.833	0.293	0.008	0.002
51.967	0.291	0.008	0.002
53.067	0.29	0.008	0.002
50.9	0.289	0.008	0.002
56.267	0.288	0.008	0.002
54.133	0.288	0.008	0.002
55.2	0.287	0.008	0.002
58.433	0.284	0.008	0.002
57.367	0.284	0.008	0.002
60.6	0.281	0.008	0.002
61.667	0.281	0.008	0.002
59.5	0.281	0.008	0.002
62.733	0.278	0.008	0.002
65.967	0.276	0.008	0.002
64.9	0.275	0.008	0.002
63.8	0.274	0.008	0.002
67.033	0.273	0.008	0.002
69.2	0.271	0.008	0.002
68.1	0.27	0.008	0.002
71.333	0.267	0.008	0.002
70.267	0.267	0.008	0.002
72.433	0.266	0.008	0.002
73.5	0.265	0.008	0.002
74.567	0.261	0.008	0.002
75.633	0.26	0.008	0.002
76.733	0.259	0.008	0.002
79.967	0.256	0.008	0.002
81.033	0.255	0.008	0.002
84.267	0.255	0.008	0.002
82.1	0.254	0.008	0.002
78.9	0.252	0.008	0.002
88.567	0.251	0.008	0.002
85.333	0.251	0.008	0.002
77.8	0.251	0.008	0.002
83.2	0.25	0.008	0.002
86.4	0.248	0.008	0.002
90.7	0.246	0.008	0.002
89.633	0.245	0.008	0.002
87.467	0.245	0.008	0.002
91.767	0.243	0.008	0.002
92.867	0.242	0.008	0.002
98.233	0.241	0.008	0.002
93.933	0.24	0.008	0.002
95.0	0.238	0.008	0.002
97.167	0.237	0.008	0.002
99.3	0.237	0.008	0.002
100.4	0.236	0.008	0.002
101.467	0.236	0.008	0.002
96.067	0.236	0.008	0.002
109.0	0.231	0.008	0.002
103.6	0.231	0.008	0.002
105.767	0.231	0.008	0.002
102.533	0.23	0.008	0.002
104.7	0.23	0.008	0.002
107.933	0.226	0.008	0.002
112.2	0.226	0.008	0.002
111.133	0.226	0.008	0.002
110.033	0.226	0.008	0.002
106.833	0.225	0.008	0.002
115.433	0.222	0.008	0.002
114.367	0.222	0.008	0.002
116.5	0.222	0.008	0.002
118.633	0.22	0.008	0.002
113.267	0.22	0.008	0.002
117.567	0.22	0.008	0.002
120.8	0.217	0.008	0.002
124.033	0.217	0.008	0.002
119.733	0.216	0.008	0.002
121.867	0.214	0.008	0.002
122.933	0.213	0.008	0.002
125.1	0.212	0.008	0.002
126.167	0.208	0.008	0.002
